日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,6675.9,6613.84,6709.12,6594.26,2499097.0,2604221681.47,1.73,-0.62,-41.12,0.17,BK0450,industry,航运港口
2010-01-05,6629.85,6676.31,6704.23,6530.56,3609471.0,3572267498.06,2.63,0.94,62.47,0.24,BK0450,industry,航运港口
2010-01-06,6672.88,6659.84,6784.72,6615.19,3810222.0,3701085472.94,2.54,-0.25,-16.47,0.26,BK0450,industry,航运港口
2010-01-07,6650.65,6511.72,6713.23,6477.27,3496718.0,3625711163.52,3.54,-2.22,-148.12,0.24,BK0450,industry,航运港口
2010-01-08,6502.33,6555.86,6587.87,6444.44,3208531.0,3250765236.84,2.2,0.68,44.14,0.22,BK0450,industry,航运港口
2010-01-11,6673.24,6628.04,6759.97,6552.33,4192968.0,4452770856.96,3.17,1.1,72.18,0.28,BK0450,industry,航运港口
2010-01-12,6636.51,6933.3,6989.19,6618.41,10223636.0,9089598003.03,5.59,4.61,305.26,0.69,BK0450,industry,航运港口
2010-01-13,6818.32,6796.24,6933.2,6733.98,8228981.0,7089366697.91,2.87,-1.98,-137.06,0.55,BK0450,industry,航运港口
2010-01-14,6803.58,6952.53,6984.93,6771.64,6020617.0,5289512919.18,3.14,2.3,156.29,0.41,BK0450,industry,航运港口
2010-01-15,6988.53,6943.03,7016.55,6877.05,4401649.0,4102219838.37,2.01,-0.14,-9.5,0.3,BK0450,industry,航运港口
2010-01-18,6954.87,7065.24,7101.28,6858.57,6925073.0,6420038278.71,3.5,1.76,122.21,0.47,BK0450,industry,航运港口
2010-01-19,7067.97,7013.41,7110.86,6937.59,5255789.0,5098916910.08,2.45,-0.73,-51.83,0.35,BK0450,industry,航运港口
2010-01-20,7055.27,6947.56,7227.75,6870.9,7953210.0,7220295220.52,5.09,-0.94,-65.85,0.54,BK0450,industry,航运港口
2010-01-21,6962.71,6910.42,7052.63,6819.4,5009925.0,4676644848.79,3.36,-0.53,-37.14,0.34,BK0450,industry,航运港口
2010-01-22,6834.88,6768.88,6896.1,6635.98,6307231.0,5710441894.43,3.76,-2.05,-141.54,0.42,BK0450,industry,航运港口
2010-01-25,6716.0,6654.87,6790.92,6633.04,3536449.0,2981065297.59,2.33,-1.68,-114.01,0.24,BK0450,industry,航运港口
2010-01-26,6653.43,6451.78,6703.34,6389.33,3868446.0,3253859993.15,4.72,-3.05,-203.09,0.26,BK0450,industry,航运港口
2010-01-27,6451.05,6412.91,6525.08,6373.58,2636558.0,2244376178.23,2.35,-0.6,-38.87,0.18,BK0450,industry,航运港口
2010-01-28,6418.82,6454.9,6488.01,6368.11,2381943.0,2090003291.28,1.87,0.65,41.99,0.16,BK0450,industry,航运港口
2010-01-29,6420.21,6422.9,6534.98,6343.75,3155603.0,2679039242.93,2.96,-0.5,-32.0,0.21,BK0450,industry,航运港口
2010-02-01,6410.23,6267.26,6435.09,6197.53,3009551.0,2678343559.18,3.7,-2.42,-155.64,0.2,BK0450,industry,航运港口
2010-02-02,6303.97,6277.56,6402.83,6250.72,2533118.0,2265554928.71,2.43,0.16,10.3,0.17,BK0450,industry,航运港口
2010-02-03,6288.94,6441.34,6451.98,6204.16,3837896.0,3356743462.3,3.95,2.61,163.78,0.26,BK0450,industry,航运港口
2010-02-04,6407.76,6441.71,6494.48,6357.67,3875888.0,3751653500.16,2.12,0.01,0.37,0.26,BK0450,industry,航运港口
2010-02-05,6330.89,6328.78,6438.21,6254.8,3984352.0,3999679321.9,2.85,-1.75,-112.93,0.27,BK0450,industry,航运港口
2010-02-08,6333.74,6333.2,6401.51,6277.79,2349242.0,2191879367.53,1.95,0.07,4.42,0.16,BK0450,industry,航运港口
2010-02-09,6334.18,6388.43,6457.6,6294.56,2809577.0,2882894878.26,2.57,0.87,55.23,0.19,BK0450,industry,航运港口
2010-02-10,6424.44,6417.21,6460.22,6357.77,2293139.0,2197412098.15,1.6,0.45,28.78,0.15,BK0450,industry,航运港口
2010-02-11,6433.79,6396.1,6464.53,6366.6,2739642.0,2358677901.51,1.53,-0.33,-21.11,0.18,BK0450,industry,航运港口
2010-02-12,6428.11,6440.11,6455.1,6383.84,1952927.0,1900956325.26,1.11,0.69,44.01,0.13,BK0450,industry,航运港口
2010-02-22,6440.45,6443.9,6494.54,6376.4,2831492.0,2818432579.59,1.83,0.06,3.79,0.19,BK0450,industry,航运港口
2010-02-23,6446.65,6457.73,6490.66,6350.15,2939197.0,2890775447.88,2.18,0.21,13.83,0.2,BK0450,industry,航运港口
2010-02-24,6428.75,6528.85,6546.52,6390.97,2942628.0,2791063422.99,2.41,1.1,71.12,0.2,BK0450,industry,航运港口
2010-02-25,6543.28,6592.1,6614.63,6491.12,3982046.0,3773109756.78,1.89,0.97,63.25,0.27,BK0450,industry,航运港口
2010-02-26,6577.32,6548.61,6611.57,6512.7,3459510.0,3525792063.62,1.5,-0.66,-43.49,0.23,BK0450,industry,航运港口
2010-03-01,6534.82,6590.15,6615.14,6510.94,3638702.0,3593923200.94,1.59,0.63,41.54,0.24,BK0450,industry,航运港口
2010-03-02,6599.09,6573.29,6645.31,6536.25,3340920.0,3269042260.88,1.65,-0.26,-16.86,0.22,BK0450,industry,航运港口
2010-03-03,6579.46,6646.37,6674.12,6533.45,3952074.0,3514165895.64,2.14,1.11,73.08,0.27,BK0450,industry,航运港口
2010-03-04,6670.06,6610.06,6865.12,6552.76,7014915.0,6186580773.21,4.7,-0.55,-36.31,0.47,BK0450,industry,航运港口
2010-03-05,6633.98,6771.35,6853.89,6568.02,6561949.0,5767863269.83,4.32,2.44,161.29,0.44,BK0450,industry,航运港口
2010-03-08,6779.43,6750.67,6819.49,6676.65,4138655.0,3887205465.52,2.11,-0.31,-20.68,0.28,BK0450,industry,航运港口
2010-03-09,6721.47,6695.26,6758.99,6619.13,3409655.0,3287987279.76,2.07,-0.82,-55.41,0.23,BK0450,industry,航运港口
2010-03-10,6696.56,6602.6,6748.76,6550.57,2941814.0,2715827823.3,2.96,-1.38,-92.66,0.2,BK0450,industry,航运港口
2010-03-11,6613.57,6582.05,6649.82,6515.43,2607642.0,2388464398.13,2.04,-0.31,-20.55,0.18,BK0450,industry,航运港口
2010-03-12,6584.37,6477.34,6612.05,6461.42,2469294.0,2237305087.03,2.29,-1.59,-104.71,0.17,BK0450,industry,航运港口
2010-03-15,6476.75,6431.99,6532.01,6400.62,2288112.0,2199781493.61,2.03,-0.7,-45.35,0.15,BK0450,industry,航运港口
2010-03-16,6428.23,6473.62,6484.55,6394.59,1671773.0,1673115445.6,1.4,0.65,41.63,0.11,BK0450,industry,航运港口
2010-03-17,6488.18,6608.47,6628.41,6456.58,3460248.0,3317673667.58,2.65,2.08,134.85,0.23,BK0450,industry,航运港口
2010-03-18,6611.83,6591.4,6668.78,6547.85,2929301.0,2848294991.0,1.83,-0.26,-17.07,0.2,BK0450,industry,航运港口
2010-03-19,6592.45,6646.67,6674.56,6536.66,3229515.0,3139855408.2,2.09,0.84,55.27,0.22,BK0450,industry,航运港口
2010-03-22,6653.55,6646.25,6688.52,6606.79,2806567.0,2778659813.12,1.23,-0.01,-0.42,0.19,BK0450,industry,航运港口
2010-03-23,6653.42,6546.76,6671.85,6531.53,2465815.0,2345490495.59,2.11,-1.5,-99.49,0.17,BK0450,industry,航运港口
2010-03-24,6553.53,6526.2,6594.81,6502.3,2411468.0,2324935657.42,1.41,-0.31,-20.56,0.16,BK0450,industry,航运港口
2010-03-25,6517.64,6438.31,6528.93,6420.78,2614911.0,2273964016.28,1.66,-1.35,-87.89,0.18,BK0450,industry,航运港口
2010-03-26,6454.73,6541.67,6576.04,6434.3,2942650.0,2593230860.44,2.2,1.61,103.36,0.2,BK0450,industry,航运港口
2010-03-29,6547.42,6614.37,6645.54,6522.14,3508174.0,3039271540.37,1.89,1.11,72.7,0.24,BK0450,industry,航运港口
2010-03-30,6611.1,6608.67,6638.23,6564.19,2209102.0,2070747134.12,1.12,-0.09,-5.7,0.15,BK0450,industry,航运港口
2010-03-31,6612.38,6550.2,6632.75,6531.93,2227057.0,2104830038.78,1.53,-0.88,-58.47,0.15,BK0450,industry,航运港口
2010-04-01,6552.75,6597.97,6615.37,6522.56,3052431.0,2819893258.17,1.42,0.73,47.77,0.21,BK0450,industry,航运港口
2010-04-02,6609.58,6640.01,6683.25,6585.45,3535877.0,3275809635.46,1.48,0.64,42.04,0.24,BK0450,industry,航运港口
2010-04-06,6664.6,6658.08,6708.54,6613.49,3740380.0,3756814915.81,1.43,0.27,18.07,0.25,BK0450,industry,航运港口
2010-04-07,6660.8,6620.66,6678.52,6587.29,2841708.0,2799271310.7,1.37,-0.56,-37.42,0.19,BK0450,industry,航运港口
2010-04-08,6608.36,6553.79,6627.8,6523.02,2890619.0,2725661493.37,1.58,-1.01,-66.87,0.19,BK0450,industry,航运港口
2010-04-09,6548.32,6588.95,6605.46,6523.88,2683389.0,2516298065.31,1.24,0.54,35.16,0.18,BK0450,industry,航运港口
2010-04-12,6592.53,6534.35,6612.88,6497.7,2921069.0,2807805582.46,1.75,-0.83,-54.6,0.2,BK0450,industry,航运港口
2010-04-13,6533.63,6587.96,6628.9,6477.56,4475941.0,4022650538.07,2.32,0.82,53.61,0.3,BK0450,industry,航运港口
2010-04-14,6584.96,6565.68,6602.79,6509.06,2851189.0,2656816662.15,1.42,-0.34,-22.28,0.19,BK0450,industry,航运港口
2010-04-15,6574.37,6560.2,6625.72,6507.8,3786787.0,3480061562.42,1.8,-0.08,-5.48,0.25,BK0450,industry,航运港口
2010-04-16,6549.24,6523.31,6594.48,6501.74,2140984.0,2107565329.95,1.41,-0.56,-36.89,0.14,BK0450,industry,航运港口
2010-04-19,6490.69,6224.15,6505.96,6178.86,3943588.0,3511075673.33,5.01,-4.59,-299.16,0.27,BK0450,industry,航运港口
2010-04-20,6227.8,6183.99,6279.18,6110.39,2726978.0,2515731426.47,2.71,-0.65,-40.16,0.18,BK0450,industry,航运港口
2010-04-21,6197.37,6266.7,6280.02,6131.45,3212427.0,2921857204.0,2.4,1.34,82.71,0.22,BK0450,industry,航运港口
2010-04-22,6251.06,6159.01,6267.33,6137.9,2959420.0,2634451330.48,2.07,-1.72,-107.69,0.2,BK0450,industry,航运港口
2010-04-23,6153.95,6129.79,6203.49,6096.28,2314370.0,2059638820.23,1.74,-0.47,-29.22,0.16,BK0450,industry,航运港口
2010-04-26,6116.61,6106.83,6200.45,6079.01,1737223.0,1463276311.01,1.98,-0.37,-22.96,0.12,BK0450,industry,航运港口
2010-04-27,6104.9,5961.93,6119.02,5879.09,2825953.0,2376870516.18,3.93,-2.37,-144.9,0.19,BK0450,industry,航运港口
2010-04-28,5930.58,5934.8,5994.28,5856.01,1760638.0,1486685077.19,2.32,-0.46,-27.13,0.12,BK0450,industry,航运港口
2010-04-29,5956.63,5911.04,6021.65,5899.1,1763639.0,1471397949.03,2.06,-0.4,-23.76,0.12,BK0450,industry,航运港口
2010-04-30,5914.5,5949.77,5984.75,5835.25,1737168.0,1446741197.02,2.53,0.66,38.73,0.12,BK0450,industry,航运港口
2010-05-04,5889.66,5903.64,5976.34,5848.52,1220002.0,1007449227.75,2.15,-0.78,-46.13,0.08,BK0450,industry,航运港口
2010-05-05,5863.73,5942.19,5966.92,5784.63,2045111.0,1654331682.99,3.09,0.65,38.55,0.14,BK0450,industry,航运港口
2010-05-06,5918.76,5734.91,5942.8,5720.84,1715469.0,1390448855.53,3.74,-3.49,-207.28,0.12,BK0450,industry,航运港口
2010-05-07,5683.78,5574.89,5711.47,5525.56,2008422.0,1675045095.9,3.24,-2.79,-160.02,0.14,BK0450,industry,航运港口
2010-05-10,5574.91,5669.41,5733.51,5489.05,1629726.0,1387563467.56,4.39,1.7,94.52,0.11,BK0450,industry,航运港口
2010-05-11,5776.69,5606.18,5811.68,5576.02,2056543.0,1591985012.33,4.16,-1.12,-63.23,0.14,BK0450,industry,航运港口
2010-05-12,5572.38,5618.07,5678.92,5503.54,1743931.0,1352365408.66,3.13,0.21,11.89,0.12,BK0450,industry,航运港口
2010-05-13,5613.89,5687.99,5707.61,5560.55,2040593.0,1545129550.56,2.62,1.24,69.92,0.14,BK0450,industry,航运港口
2010-05-14,5658.54,5643.97,5693.26,5594.28,1408668.0,1233863665.43,1.74,-0.77,-44.02,0.09,BK0450,industry,航运港口
2010-05-17,5602.71,5325.38,5634.91,5307.38,2307947.0,1767813946.86,5.8,-5.64,-318.59,0.16,BK0450,industry,航运港口
2010-05-18,5315.34,5371.45,5413.51,5238.9,2271496.0,1632449129.34,3.28,0.87,46.07,0.15,BK0450,industry,航运港口
2010-05-19,5348.09,5338.72,5411.46,5272.85,1637907.0,1192616654.28,2.58,-0.61,-32.73,0.11,BK0450,industry,航运港口
2010-05-20,5305.97,5264.87,5401.52,5248.57,1482765.0,1127180303.32,2.86,-1.38,-73.85,0.1,BK0450,industry,航运港口
2010-05-21,5161.32,5234.85,5259.94,5064.04,1706451.0,1277855430.71,3.72,-0.57,-30.02,0.11,BK0450,industry,航运港口
2010-05-24,5263.97,5412.96,5436.63,5246.63,2503615.0,1875643492.69,3.63,3.4,178.11,0.17,BK0450,industry,航运港口
2010-05-25,5425.25,5397.56,5488.55,5350.83,2081872.0,1553387399.94,2.54,-0.28,-15.4,0.14,BK0450,industry,航运港口
2010-05-26,5375.26,5395.99,5458.62,5344.63,1745971.0,1362647667.35,2.11,-0.03,-1.57,0.12,BK0450,industry,航运港口
2010-05-27,5382.56,5437.05,5463.77,5296.11,1857297.0,1437708851.4,3.11,0.76,41.06,0.12,BK0450,industry,航运港口
2010-05-28,5471.54,5431.67,5507.38,5396.1,1888109.0,1459181337.58,2.05,-0.1,-5.38,0.13,BK0450,industry,航运港口
2010-05-31,5404.49,5291.98,5460.97,5276.1,1591016.0,1245568316.38,3.4,-2.57,-139.69,0.11,BK0450,industry,航运港口
2010-06-01,5258.32,5257.01,5347.25,5177.95,1498729.0,1136009699.99,3.2,-0.66,-34.97,0.1,BK0450,industry,航运港口
2010-06-02,5240.08,5278.03,5317.93,5178.14,1061573.0,767417057.79,2.66,0.4,21.02,0.07,BK0450,industry,航运港口
2010-06-03,5297.91,5223.01,5326.75,5212.09,1306708.0,968961517.73,2.17,-1.04,-55.02,0.09,BK0450,industry,航运港口
2010-06-04,5205.82,5228.48,5263.94,5155.08,1077371.0,773524119.59,2.08,0.1,5.47,0.07,BK0450,industry,航运港口
2010-06-07,5148.05,5148.53,5199.26,5084.73,1510056.0,1113886935.21,2.19,-1.53,-79.95,0.1,BK0450,industry,航运港口
2010-06-08,5139.45,5132.71,5221.83,5065.86,1472388.0,1081464942.21,3.03,-0.31,-15.82,0.1,BK0450,industry,航运港口
2010-06-09,5144.55,5248.7,5297.08,5096.12,2444494.0,1770239311.53,3.92,2.26,115.99,0.16,BK0450,industry,航运港口
2010-06-10,5221.33,5228.48,5291.87,5198.76,2097229.0,1506612108.22,1.77,-0.39,-20.22,0.14,BK0450,industry,航运港口
2010-06-11,5246.77,5250.08,5296.64,5218.56,1617910.0,1184518462.53,1.49,0.41,21.6,0.11,BK0450,industry,航运港口
2010-06-17,5270.35,5232.08,5299.9,5212.32,1303589.0,1054612819.28,1.67,-0.34,-18.0,0.09,BK0450,industry,航运港口
2010-06-18,5225.11,5104.7,5238.52,5085.85,1478452.0,1142325881.05,2.92,-2.43,-127.38,0.1,BK0450,industry,航运港口
2010-06-21,5114.13,5235.56,5250.7,5080.66,2215605.0,1690927603.67,3.33,2.56,130.86,0.15,BK0450,industry,航运港口
2010-06-22,5224.93,5255.18,5284.1,5192.11,2082004.0,1639432525.39,1.76,0.37,19.62,0.14,BK0450,industry,航运港口
2010-06-23,5225.98,5193.18,5273.92,5149.62,1831643.0,1352679180.47,2.37,-1.18,-62.0,0.12,BK0450,industry,航运港口
2010-06-24,5200.82,5183.38,5241.06,5138.89,1288227.0,970476723.78,1.97,-0.19,-9.8,0.09,BK0450,industry,航运港口
2010-06-25,5175.97,5178.59,5221.38,5126.87,1212360.0,905528708.78,1.82,-0.09,-4.79,0.08,BK0450,industry,航运港口
2010-06-28,5183.84,5133.36,5228.98,5116.14,1026784.0,711488464.17,2.18,-0.87,-45.23,0.07,BK0450,industry,航运港口
2010-06-29,5140.56,4932.78,5190.26,4874.99,1741799.0,1178614597.2,6.14,-3.91,-200.58,0.12,BK0450,industry,航运港口
2010-06-30,4911.99,4762.9,5007.22,4718.41,1671062.0,1062263187.32,5.85,-3.44,-169.88,0.11,BK0450,industry,航运港口
2010-07-01,4759.2,4768.98,4835.56,4702.28,1197213.0,783331765.57,2.8,0.13,6.08,0.08,BK0450,industry,航运港口
2010-07-02,4771.76,4779.4,4812.77,4652.72,1484965.0,979487660.28,3.36,0.22,10.42,0.1,BK0450,industry,航运港口
2010-07-05,4761.87,4704.57,4777.23,4640.02,927688.0,604882501.86,2.87,-1.57,-74.83,0.06,BK0450,industry,航运港口
2010-07-06,4709.77,4797.31,4808.4,4693.72,1278498.0,836809454.69,2.44,1.97,92.74,0.09,BK0450,industry,航运港口
2010-07-07,4799.01,4819.24,4856.59,4748.94,1423936.0,972696882.73,2.24,0.46,21.93,0.1,BK0450,industry,航运港口
2010-07-08,4835.59,4916.76,4977.3,4803.01,2314987.0,1442794741.05,3.62,2.02,97.52,0.16,BK0450,industry,航运港口
2010-07-09,4906.5,4991.27,5042.79,4838.72,2626238.0,1724176096.47,4.15,1.52,74.51,0.18,BK0450,industry,航运港口
2010-07-12,4984.0,4999.41,5036.28,4940.08,2008642.0,1361010669.65,1.93,0.16,8.14,0.14,BK0450,industry,航运港口
2010-07-13,4988.07,4919.56,5006.98,4899.45,1748456.0,1223045093.41,2.15,-1.6,-79.85,0.12,BK0450,industry,航运港口
2010-07-14,4926.64,4963.36,5009.93,4914.07,1432358.0,972982123.37,1.95,0.89,43.8,0.1,BK0450,industry,航运港口
2010-07-15,4970.1,4868.7,5011.98,4862.19,1997893.0,1325422232.27,3.02,-1.91,-94.66,0.13,BK0450,industry,航运港口
2010-07-16,4844.19,4868.32,4885.8,4789.62,1264200.0,843452792.84,1.98,-0.01,-0.38,0.09,BK0450,industry,航运港口
2010-07-19,4839.91,4958.49,4974.3,4813.39,1668006.0,1164788825.75,3.31,1.85,90.17,0.11,BK0450,industry,航运港口
2010-07-20,4970.19,5063.69,5088.35,4950.38,2839409.0,1962038463.44,2.78,2.12,105.2,0.19,BK0450,industry,航运港口
2010-07-21,5065.68,5128.78,5187.92,5030.9,2871412.0,1934814273.61,3.1,1.29,65.09,0.19,BK0450,industry,航运港口
2010-07-22,5109.41,5171.62,5188.77,5079.4,2491531.0,1655303568.16,2.13,0.84,42.84,0.17,BK0450,industry,航运港口
2010-07-23,5184.18,5147.63,5207.03,5095.77,2088109.0,1411371581.88,2.15,-0.46,-23.99,0.14,BK0450,industry,航运港口
2010-07-26,5151.39,5178.55,5198.44,5105.41,2287764.0,1685219611.0,1.81,0.6,30.92,0.15,BK0450,industry,航运港口
2010-07-27,5181.24,5168.81,5227.31,5138.76,2587544.0,1832050032.28,1.71,-0.19,-9.74,0.17,BK0450,industry,航运港口
2010-07-28,5169.13,5278.73,5307.79,5132.8,3378046.0,2444258412.55,3.39,2.13,109.92,0.23,BK0450,industry,航运港口
2010-07-29,5287.72,5334.59,5422.64,5230.96,3692069.0,2621750026.02,3.63,1.06,55.86,0.25,BK0450,industry,航运港口
2010-07-30,5312.73,5306.55,5354.98,5238.5,2584955.0,1946576858.27,2.18,-0.53,-28.04,0.17,BK0450,industry,航运港口
2010-08-02,5320.41,5369.38,5408.87,5283.31,3056499.0,2209416759.25,2.37,1.18,62.83,0.21,BK0450,industry,航运港口
2010-08-03,5377.37,5264.16,5402.69,5252.22,3615449.0,2603508958.39,2.8,-1.96,-105.22,0.24,BK0450,industry,航运港口
2010-08-04,5236.38,5265.49,5297.5,5124.48,2583634.0,1845131055.37,3.29,0.03,1.33,0.17,BK0450,industry,航运港口
2010-08-05,5255.68,5219.42,5282.92,5173.02,2089085.0,1616582575.47,2.09,-0.87,-46.07,0.14,BK0450,industry,航运港口
2010-08-06,5210.36,5321.64,5329.76,5169.31,2610784.0,1874338524.23,3.07,1.96,102.22,0.18,BK0450,industry,航运港口
2010-08-09,5319.62,5345.49,5375.4,5278.85,2749171.0,2095175078.92,1.81,0.45,23.85,0.18,BK0450,industry,航运港口
2010-08-10,5351.72,5173.0,5381.16,5158.87,2800962.0,2203377864.63,4.16,-3.23,-172.49,0.19,BK0450,industry,航运港口
2010-08-11,5168.5,5200.02,5229.24,5140.61,1711876.0,1269085603.58,1.71,0.52,27.02,0.12,BK0450,industry,航运港口
2010-08-12,5156.72,5110.73,5196.41,5090.04,1714776.0,1276380209.96,2.05,-1.72,-89.29,0.12,BK0450,industry,航运港口
2010-08-13,5102.04,5187.4,5203.34,5088.26,1829210.0,1379265192.88,2.25,1.5,76.67,0.12,BK0450,industry,航运港口
2010-08-16,5182.42,5532.98,5553.73,5146.9,6456642.0,4738048576.7,7.84,6.66,345.58,0.43,BK0450,industry,航运港口
2010-08-17,5535.74,5498.21,5609.45,5413.24,4591716.0,3590470113.46,3.55,-0.63,-34.77,0.31,BK0450,industry,航运港口
2010-08-18,5509.14,5439.54,5543.46,5396.46,3405456.0,2662204203.42,2.67,-1.07,-58.67,0.23,BK0450,industry,航运港口
2010-08-19,5448.26,5465.02,5526.6,5407.46,3159848.0,2499607027.37,2.19,0.47,25.48,0.21,BK0450,industry,航运港口
2010-08-20,5466.1,5415.36,5572.67,5389.32,4000581.0,3006586545.23,3.35,-0.91,-49.66,0.27,BK0450,industry,航运港口
2010-08-23,5417.82,5402.13,5487.7,5363.11,2366527.0,1888813554.11,2.3,-0.24,-13.23,0.16,BK0450,industry,航运港口
2010-08-24,5394.27,5443.67,5496.75,5329.82,2776669.0,2160988677.83,3.09,0.77,41.54,0.19,BK0450,industry,航运港口
2010-08-25,5410.05,5417.8,5558.54,5333.99,3121944.0,2357924643.32,4.12,-0.48,-25.87,0.21,BK0450,industry,航运港口
2010-08-26,5444.1,5567.79,5687.16,5395.76,3240496.0,2272958286.85,5.38,2.77,149.99,0.22,BK0450,industry,航运港口
2010-08-27,5576.91,5671.7,5762.54,5470.77,2244707.0,1579591212.99,5.24,1.87,103.91,0.15,BK0450,industry,航运港口
2010-08-30,5700.9,5704.88,5761.22,5593.9,2680658.0,2042661339.0,2.95,0.59,33.18,0.18,BK0450,industry,航运港口
2010-08-31,5678.33,5622.19,5696.57,5577.56,2438400.0,1904631894.78,2.09,-1.45,-82.69,0.16,BK0450,industry,航运港口
2010-09-01,5613.93,5491.15,5703.07,5440.14,2693943.0,2093272628.59,4.68,-2.33,-131.04,0.18,BK0450,industry,航运港口
2010-09-02,5549.08,5584.99,5640.86,5472.05,3017051.0,2332319416.43,3.07,1.71,93.84,0.2,BK0450,industry,航运港口
2010-09-03,5590.88,5582.4,5620.05,5478.1,2735518.0,2178188814.42,2.54,-0.05,-2.59,0.18,BK0450,industry,航运港口
2010-09-06,5617.06,5619.7,5692.65,5514.2,3382397.0,2650878547.45,3.2,0.67,37.3,0.23,BK0450,industry,航运港口
2010-09-07,5624.15,5767.78,5838.56,5571.9,3360893.0,2640952423.25,4.75,2.64,148.08,0.23,BK0450,industry,航运港口
2010-09-08,5723.95,5739.18,5789.72,5631.63,2384712.0,2020278354.55,2.74,-0.5,-28.6,0.16,BK0450,industry,航运港口
2010-09-09,5732.25,5611.87,5764.55,5564.39,3353540.0,2675668049.85,3.49,-2.22,-127.31,0.23,BK0450,industry,航运港口
2010-09-10,5609.97,5634.8,5689.34,5545.05,2306409.0,1805466309.77,2.57,0.41,22.93,0.16,BK0450,industry,航运港口
2010-09-13,5644.85,5653.88,5704.78,5552.63,2157758.0,1774066281.19,2.7,0.34,19.08,0.15,BK0450,industry,航运港口
2010-09-14,5669.86,5584.75,5686.85,5554.24,2352612.0,1866795898.1,2.35,-1.22,-69.13,0.16,BK0450,industry,航运港口
2010-09-15,5577.52,5472.78,5596.48,5440.19,2435591.0,1869338209.85,2.8,-2.0,-111.97,0.16,BK0450,industry,航运港口
2010-09-16,5465.11,5330.02,5531.93,5223.8,2734129.0,1954389855.76,5.63,-2.61,-142.76,0.18,BK0450,industry,航运港口
2010-09-17,5325.96,5305.72,5362.17,5267.92,1648518.0,1207495097.36,1.77,-0.46,-24.3,0.11,BK0450,industry,航运港口
2010-09-20,5303.69,5295.48,5391.88,5220.85,1814221.0,1315044074.66,3.22,-0.19,-10.24,0.12,BK0450,industry,航运港口
2010-09-21,5305.97,5324.79,5380.03,5275.01,1235922.0,936148175.69,1.98,0.55,29.31,0.08,BK0450,industry,航运港口
2010-09-27,5351.08,5357.81,5404.78,5299.22,1617305.0,1222370700.7,1.98,0.62,33.02,0.11,BK0450,industry,航运港口
2010-09-28,5354.84,5274.1,5392.45,5243.25,1790169.0,1346220881.9,2.78,-1.56,-83.71,0.12,BK0450,industry,航运港口
2010-09-29,5260.27,5257.69,5344.61,5207.29,2981027.0,1861111588.55,2.6,-0.31,-16.41,0.2,BK0450,industry,航运港口
2010-09-30,5248.71,5310.63,5353.24,5213.65,2369731.0,1522515295.79,2.65,1.01,52.94,0.16,BK0450,industry,航运港口
2010-10-08,5337.24,5449.21,5508.44,5325.22,4387011.0,2843625758.47,3.45,2.61,138.58,0.3,BK0450,industry,航运港口
2010-10-11,5452.29,5609.34,5684.98,5429.91,6618721.0,4434836511.41,4.68,2.94,160.13,0.45,BK0450,industry,航运港口
2010-10-12,5599.09,5598.87,5709.4,5518.16,4851162.0,3354694762.01,3.41,-0.19,-10.47,0.33,BK0450,industry,航运港口
2010-10-13,5613.96,5667.56,5697.59,5532.91,4580444.0,2973990760.2,2.94,1.23,68.69,0.31,BK0450,industry,航运港口
2010-10-14,5704.8,5706.24,5867.56,5607.78,8520138.0,5337662416.3,4.58,0.68,38.68,0.57,BK0450,industry,航运港口
2010-10-15,5685.26,5838.04,5889.65,5619.79,9450280.0,5892984893.59,4.73,2.31,131.8,0.64,BK0450,industry,航运港口
2010-10-18,5869.54,5969.9,6150.18,5794.74,12594344.0,7892080779.52,6.09,2.26,131.86,0.85,BK0450,industry,航运港口
2010-10-19,5948.48,5971.65,5996.62,5812.95,7300473.0,4728696259.67,3.08,0.03,1.75,0.49,BK0450,industry,航运港口
2010-10-20,5848.79,5815.23,5917.13,5730.38,6203209.0,4277375342.82,3.13,-2.62,-156.42,0.42,BK0450,industry,航运港口
2010-10-21,5829.11,5818.47,5890.75,5715.11,4794248.0,3513841595.67,3.02,0.06,3.24,0.32,BK0450,industry,航运港口
2010-10-22,5809.33,5815.61,5896.17,5719.66,3810817.0,3115179841.81,3.03,-0.05,-2.86,0.26,BK0450,industry,航运港口
2010-10-25,5823.46,5941.49,5968.53,5765.04,5297452.0,4150305419.02,3.5,2.16,125.88,0.36,BK0450,industry,航运港口
2010-10-26,5950.4,5901.0,6019.5,5837.66,4712630.0,3825035247.32,3.06,-0.68,-40.49,0.32,BK0450,industry,航运港口
2010-10-27,5891.37,5845.78,6003.48,5786.34,4444692.0,3516991467.59,3.68,-0.94,-55.22,0.3,BK0450,industry,航运港口
2010-10-28,5835.7,5830.74,5925.31,5747.31,3785305.0,2866230300.41,3.04,-0.26,-15.04,0.25,BK0450,industry,航运港口
2010-10-29,5882.66,5799.12,5967.4,5736.59,4174930.0,2947471983.95,3.96,-0.54,-31.62,0.28,BK0450,industry,航运港口
2010-11-01,5801.18,5905.84,5933.02,5729.77,5530780.0,4259896010.78,3.5,1.84,106.72,0.37,BK0450,industry,航运港口
2010-11-02,5908.53,6023.43,6163.96,5826.09,10322296.0,7637341238.01,5.72,1.99,117.59,0.69,BK0450,industry,航运港口
