日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,19729.6,19482.0,19977.13,19346.5,6367502.0,12426358338.02,3.21,-0.8,-157.91,0.35,BK0524,concept,参股期货
2010-01-05,19566.68,20046.63,20309.4,19168.77,9199019.0,19753790631.8,5.85,2.9,564.63,0.5,BK0524,concept,参股期货
2010-01-06,20063.3,19939.86,20411.96,19803.02,7410735.0,16018807777.07,3.04,-0.53,-106.77,0.41,BK0524,concept,参股期货
2010-01-07,19963.14,19508.9,20250.03,19303.64,6766219.0,14374975781.22,4.75,-2.16,-430.96,0.37,BK0524,concept,参股期货
2010-01-08,19353.83,19744.6,19844.41,19173.05,5762293.0,11464259207.73,3.44,1.21,235.7,0.32,BK0524,concept,参股期货
2010-01-11,21085.44,20026.64,21196.4,19850.12,11281817.0,25434321498.32,6.82,1.43,282.04,0.62,BK0524,concept,参股期货
2010-01-12,19836.86,20174.45,20353.71,19483.52,6601112.0,13204333477.37,4.35,0.74,147.81,0.36,BK0524,concept,参股期货
2010-01-13,19624.04,19353.48,20013.33,19195.32,7935965.0,15976487423.2,4.05,-4.07,-820.97,0.44,BK0524,concept,参股期货
2010-01-14,19402.8,19620.63,19778.31,19142.82,5410046.0,10400002285.25,3.28,1.38,267.15,0.3,BK0524,concept,参股期货
2010-01-15,19641.59,19599.25,19854.93,19371.45,4543252.0,8681290204.27,2.46,-0.11,-21.38,0.25,BK0524,concept,参股期货
2010-01-18,19457.01,19395.72,19612.06,19096.35,5863950.0,11921176742.05,2.63,-1.04,-203.53,0.32,BK0524,concept,参股期货
2010-01-19,19448.87,19609.58,19869.65,19351.24,6412541.0,11921460919.51,2.67,1.1,213.86,0.35,BK0524,concept,参股期货
2010-01-20,19609.22,18893.12,19736.2,18753.74,7981749.0,15280678429.05,5.01,-3.65,-716.46,0.44,BK0524,concept,参股期货
2010-01-21,18900.88,18979.73,19163.36,18617.83,4793703.0,9145650742.2,2.89,0.46,86.61,0.26,BK0524,concept,参股期货
2010-01-22,18695.29,18465.58,18864.69,18037.98,5987518.0,10360055355.5,4.36,-2.71,-514.15,0.33,BK0524,concept,参股期货
2010-01-25,18363.44,18257.19,18660.24,18114.48,3074246.0,5555363759.54,2.96,-1.13,-208.39,0.17,BK0524,concept,参股期货
2010-01-26,18289.23,17653.24,18456.4,17487.48,3907372.0,6749918339.04,5.31,-3.31,-603.95,0.21,BK0524,concept,参股期货
2010-01-27,17676.9,17470.15,17879.59,17360.93,2999806.0,5450603102.69,2.94,-1.04,-183.09,0.16,BK0524,concept,参股期货
2010-01-28,17442.11,17546.89,17662.97,17235.61,2654453.0,4783026609.55,2.45,0.44,76.74,0.15,BK0524,concept,参股期货
2010-01-29,17436.07,17515.71,17882.32,17291.79,3171154.0,5680215507.09,3.37,-0.18,-31.18,0.17,BK0524,concept,参股期货
2010-02-01,17389.4,17026.03,17608.09,16663.53,4503302.0,8207599757.35,5.39,-2.8,-489.68,0.25,BK0524,concept,参股期货
2010-02-02,17123.88,16852.57,17381.25,16801.72,3231048.0,5861978850.38,3.4,-1.02,-173.46,0.18,BK0524,concept,参股期货
2010-02-03,17017.69,17457.45,17501.97,16586.07,4561329.0,8315789414.77,5.43,3.59,604.88,0.25,BK0524,concept,参股期货
2010-02-04,17257.77,17399.12,17640.84,17147.4,3755786.0,6173336594.78,2.83,-0.33,-58.33,0.21,BK0524,concept,参股期货
2010-02-05,16932.72,17197.2,17388.57,16774.06,5045655.0,7110215152.3,3.53,-1.16,-201.92,0.28,BK0524,concept,参股期货
2010-02-08,17183.67,17477.95,17714.38,17057.24,5110081.0,6544217285.97,3.82,1.63,280.75,0.28,BK0524,concept,参股期货
2010-02-09,17392.98,17514.09,17727.59,17283.57,3306933.0,5023948177.99,2.54,0.21,36.14,0.18,BK0524,concept,参股期货
2010-02-10,17665.68,17712.59,17855.39,17445.13,3020409.0,5115465897.21,2.34,1.13,198.5,0.17,BK0524,concept,参股期货
2010-02-11,17725.91,17631.6,17859.24,17545.05,2409385.0,4055507095.65,1.77,-0.46,-80.99,0.13,BK0524,concept,参股期货
2010-02-12,17713.45,17802.44,17928.27,17556.94,2852878.0,4945028838.47,2.11,0.97,170.84,0.16,BK0524,concept,参股期货
2010-02-22,17918.43,17845.87,18225.94,17683.02,3930384.0,6362719590.55,3.05,0.24,43.43,0.22,BK0524,concept,参股期货
2010-02-23,17751.62,17532.53,17874.19,17174.49,4250351.0,6447937630.29,3.92,-1.76,-313.34,0.23,BK0524,concept,参股期货
2010-02-24,17379.52,17767.45,17817.49,17268.71,3516734.0,5016925136.14,3.13,1.34,234.92,0.19,BK0524,concept,参股期货
2010-02-25,17841.55,18100.03,18259.98,17760.1,4470574.0,6887672191.83,2.81,1.87,332.58,0.25,BK0524,concept,参股期货
2010-02-26,18062.01,17977.67,18209.86,17855.11,4229108.0,6093739703.45,1.96,-0.68,-122.36,0.23,BK0524,concept,参股期货
2010-03-01,18071.29,18359.62,18485.08,17947.2,6195352.0,9585735184.13,2.99,2.12,381.95,0.34,BK0524,concept,参股期货
2010-03-02,18363.99,18210.6,18515.85,18037.35,5273332.0,7977027676.59,2.61,-0.81,-149.02,0.29,BK0524,concept,参股期货
2010-03-03,18192.81,18309.68,18433.46,17972.12,4821967.0,7369846663.02,2.53,0.54,99.08,0.26,BK0524,concept,参股期货
2010-03-04,18317.03,17757.75,18467.74,17667.88,6079189.0,9179300703.21,4.37,-3.01,-551.93,0.33,BK0524,concept,参股期货
2010-03-05,17787.67,17994.11,18256.81,17700.01,5667280.0,9587749878.59,3.14,1.33,236.36,0.31,BK0524,concept,参股期货
2010-03-08,18021.83,18003.74,18168.41,17829.4,3437358.0,5522080139.56,1.88,0.05,9.63,0.19,BK0524,concept,参股期货
2010-03-09,17978.91,18103.91,18287.99,17731.84,4016646.0,6463529820.14,3.09,0.56,100.17,0.22,BK0524,concept,参股期货
2010-03-10,18112.38,17952.95,18336.64,17818.97,3609398.0,6113866975.99,2.86,-0.83,-150.96,0.2,BK0524,concept,参股期货
2010-03-11,17975.78,18088.06,18265.24,17754.47,3861934.0,6962823205.55,2.85,0.75,135.11,0.21,BK0524,concept,参股期货
2010-03-12,18095.24,17831.49,18225.31,17784.51,3194734.0,5634826650.32,2.44,-1.42,-256.57,0.18,BK0524,concept,参股期货
2010-03-15,17844.85,17697.89,17953.78,17540.42,2625626.0,4616399466.96,2.32,-0.75,-133.6,0.14,BK0524,concept,参股期货
2010-03-16,17699.56,17840.17,17924.17,17587.5,2408661.0,4280056813.24,1.9,0.8,142.28,0.13,BK0524,concept,参股期货
2010-03-17,17914.48,18169.35,18201.02,17784.94,3339940.0,5675417130.99,2.33,1.85,329.18,0.18,BK0524,concept,参股期货
2010-03-18,18177.3,18113.12,18361.35,17995.79,3404432.0,5701426718.14,2.01,-0.31,-56.23,0.19,BK0524,concept,参股期货
2010-03-19,18134.32,18289.81,18408.55,17961.69,3767908.0,6135857828.38,2.47,0.98,176.69,0.21,BK0524,concept,参股期货
2010-03-22,18332.79,18231.08,18442.38,18094.94,3352275.0,5670405895.63,1.9,-0.32,-58.73,0.18,BK0524,concept,参股期货
2010-03-23,18245.99,18019.12,18354.87,17948.71,3229028.0,5492887890.2,2.23,-1.16,-211.96,0.18,BK0524,concept,参股期货
2010-03-24,18062.05,18016.99,18234.82,17898.01,3024428.0,5150520321.71,1.87,-0.01,-2.13,0.17,BK0524,concept,参股期货
2010-03-25,17979.25,17709.19,18078.22,17578.18,4052064.0,6817577119.53,2.78,-1.71,-307.8,0.22,BK0524,concept,参股期货
2010-03-26,17694.67,17883.22,17997.93,17590.92,2929221.0,5026810427.56,2.3,0.98,174.03,0.16,BK0524,concept,参股期货
2010-03-29,18051.62,18364.03,18525.68,17987.26,5430651.0,9625621703.76,3.01,2.69,480.81,0.3,BK0524,concept,参股期货
2010-03-30,18379.64,18334.06,18489.72,18161.53,3683741.0,6517003784.46,1.79,-0.16,-29.97,0.2,BK0524,concept,参股期货
2010-03-31,18451.9,18334.26,18620.09,18223.14,3764716.0,6542800377.35,2.17,0.0,0.2,0.21,BK0524,concept,参股期货
2010-04-01,18343.59,18551.93,18643.44,18252.15,4838531.0,8437343576.38,2.13,1.19,217.67,0.27,BK0524,concept,参股期货
2010-04-02,18586.56,18586.16,18724.36,18441.82,3956298.0,7017852799.85,1.52,0.18,34.23,0.22,BK0524,concept,参股期货
2010-04-06,18638.32,18757.41,18963.27,18506.12,5403955.0,8827806456.93,2.46,0.92,171.25,0.3,BK0524,concept,参股期货
2010-04-07,18740.98,18551.76,18811.1,18383.94,3990571.0,6558129213.41,2.28,-1.1,-205.65,0.22,BK0524,concept,参股期货
2010-04-08,18512.21,18408.68,18676.1,18308.4,4086939.0,6555866824.23,1.98,-0.77,-143.08,0.22,BK0524,concept,参股期货
2010-04-09,18417.61,18582.59,18667.9,18325.75,4120090.0,6581341276.81,1.86,0.94,173.91,0.23,BK0524,concept,参股期货
2010-04-12,18635.92,18553.36,18889.43,18295.81,5700507.0,8999014278.06,3.19,-0.16,-29.23,0.31,BK0524,concept,参股期货
2010-04-13,18540.49,18882.88,19027.88,18287.38,7358721.0,13364287117.84,3.99,1.78,329.52,0.4,BK0524,concept,参股期货
2010-04-14,18888.67,18870.65,19028.37,18643.24,4633816.0,8486838046.26,2.04,-0.06,-12.23,0.25,BK0524,concept,参股期货
2010-04-15,18910.92,18844.18,19114.95,18650.9,4887264.0,9181112460.33,2.46,-0.14,-26.47,0.27,BK0524,concept,参股期货
2010-04-16,18780.81,18429.51,18902.08,18206.44,3341005.0,5161837426.45,3.69,-2.2,-414.67,0.18,BK0524,concept,参股期货
2010-04-19,18113.51,17188.19,18233.83,17136.73,4241231.0,6618270594.61,5.95,-6.74,-1241.32,0.23,BK0524,concept,参股期货
2010-04-20,17085.08,17025.29,17426.58,16579.55,3697898.0,5428720374.62,4.93,-0.95,-162.9,0.2,BK0524,concept,参股期货
2010-04-21,17063.18,17432.93,17543.17,16872.73,3573778.0,5376604493.36,3.94,2.39,407.64,0.2,BK0524,concept,参股期货
2010-04-22,17378.35,17327.05,17671.14,17003.55,4164728.0,5983833191.84,3.83,-0.61,-105.88,0.23,BK0524,concept,参股期货
2010-04-23,17279.19,17342.24,17651.47,17104.11,3140021.0,4706488934.44,3.16,0.09,15.19,0.17,BK0524,concept,参股期货
2010-04-26,17366.84,17271.99,17631.39,17132.75,2945569.0,4363674319.34,2.88,-0.41,-70.25,0.16,BK0524,concept,参股期货
2010-04-27,17224.11,16746.74,17299.74,16385.82,3679211.0,5432352793.58,5.29,-3.04,-525.25,0.2,BK0524,concept,参股期货
2010-04-28,16518.9,16701.27,16942.79,16317.44,2662359.0,3807249567.96,3.73,-0.27,-45.47,0.15,BK0524,concept,参股期货
2010-04-29,16806.48,16323.75,16988.91,16289.44,2709684.0,3758070042.24,4.19,-2.26,-377.52,0.15,BK0524,concept,参股期货
2010-04-30,16333.77,16206.46,16536.59,15802.39,2718329.0,3651480888.3,4.5,-0.72,-117.29,0.15,BK0524,concept,参股期货
2010-05-04,15486.29,15439.27,15728.73,15248.63,2172868.0,3126025201.73,2.96,-4.73,-767.19,0.12,BK0524,concept,参股期货
2010-05-05,14808.64,15204.91,15333.34,14577.62,5378554.0,9596950701.57,4.89,-1.52,-234.36,0.3,BK0524,concept,参股期货
2010-05-06,15030.7,14307.51,15141.8,14255.13,4187675.0,6752125551.24,5.83,-5.9,-897.4,0.23,BK0524,concept,参股期货
2010-05-07,14064.81,14056.7,14468.2,13755.23,3495021.0,5083707183.39,4.98,-1.75,-250.81,0.19,BK0524,concept,参股期货
2010-05-10,14082.67,14178.24,14382.97,13759.15,3144546.0,4647005121.53,4.44,0.86,121.54,0.17,BK0524,concept,参股期货
2010-05-11,14506.42,13702.97,14573.73,13641.15,4213042.0,6068583440.25,6.58,-3.35,-475.27,0.23,BK0524,concept,参股期货
2010-05-12,13594.79,13780.63,13930.86,13300.54,3167790.0,4423260356.84,4.6,0.57,77.66,0.17,BK0524,concept,参股期货
2010-05-13,13795.25,14094.13,14134.31,13626.0,3267520.0,4772992735.71,3.69,2.27,313.5,0.18,BK0524,concept,参股期货
2010-05-14,13953.14,13997.74,14179.59,13807.21,2907879.0,4083099027.06,2.64,-0.68,-96.39,0.16,BK0524,concept,参股期货
2010-05-17,13765.29,13022.76,13870.81,12987.12,3905733.0,5409103276.91,6.31,-6.97,-974.98,0.21,BK0524,concept,参股期货
2010-05-18,13017.43,13421.92,13545.39,12848.63,3195715.0,4197737552.6,5.35,3.07,399.16,0.18,BK0524,concept,参股期货
2010-05-19,13290.99,13308.4,13583.15,13110.68,3377644.0,4530763975.45,3.52,-0.85,-113.52,0.19,BK0524,concept,参股期货
2010-05-20,13211.78,13179.11,13555.52,13083.4,2556833.0,3420833080.69,3.55,-0.97,-129.29,0.14,BK0524,concept,参股期货
2010-05-21,12786.75,13455.71,13546.37,12653.69,3814241.0,4872221631.07,6.77,2.1,276.6,0.21,BK0524,concept,参股期货
2010-05-24,13563.06,14136.63,14296.46,13534.14,5376159.0,7453268730.21,5.67,5.06,680.92,0.29,BK0524,concept,参股期货
2010-05-25,13976.6,13828.53,14096.63,13652.31,3630590.0,5093550814.91,3.14,-2.18,-308.1,0.2,BK0524,concept,参股期货
2010-05-26,13843.66,13851.6,14045.47,13702.31,2344797.0,3273460871.38,2.48,0.17,23.07,0.13,BK0524,concept,参股期货
2010-05-27,13841.23,14060.37,14154.64,13576.54,3158509.0,4446748727.82,4.17,1.51,208.77,0.17,BK0524,concept,参股期货
2010-05-28,14181.82,13941.7,14287.99,13826.27,2833431.0,4003801059.82,3.28,-0.84,-118.67,0.16,BK0524,concept,参股期货
2010-05-31,13843.69,13386.45,13944.37,13362.43,2658789.0,3633552264.26,4.17,-3.98,-555.25,0.15,BK0524,concept,参股期货
2010-06-01,13271.16,13169.43,13439.84,12972.75,2502591.0,3213957201.24,3.49,-1.62,-217.02,0.14,BK0524,concept,参股期货
2010-06-02,13096.14,13417.75,13456.45,12973.77,2109759.0,2827463107.24,3.67,1.89,248.32,0.12,BK0524,concept,参股期货
2010-06-03,13469.04,13252.59,13592.32,13211.67,2398942.0,3113663286.29,2.84,-1.23,-165.16,0.13,BK0524,concept,参股期货
2010-06-04,13179.58,13425.56,13608.38,13080.76,2763293.0,3665347024.5,3.98,1.31,172.97,0.15,BK0524,concept,参股期货
2010-06-07,13083.4,13119.58,13257.78,12955.86,2370272.0,3154061667.17,2.25,-2.28,-305.98,0.13,BK0524,concept,参股期货
2010-06-08,13078.37,13205.05,13384.14,12987.52,2576504.0,3377885849.49,3.02,0.65,85.47,0.14,BK0524,concept,参股期货
2010-06-09,13271.12,13624.95,13686.1,13088.68,3792794.0,5092895449.93,4.52,3.18,419.9,0.21,BK0524,concept,参股期货
2010-06-10,13480.68,13456.81,13660.99,13375.87,2578835.0,3485539982.15,2.09,-1.23,-168.14,0.14,BK0524,concept,参股期货
2010-06-11,13553.63,13493.07,13666.32,13412.4,2266309.0,3145379908.77,1.89,0.27,36.26,0.12,BK0524,concept,参股期货
2010-06-17,13583.58,13407.42,13701.05,13372.84,1374521.0,1682435921.35,2.43,-0.63,-85.65,0.08,BK0524,concept,参股期货
2010-06-18,13390.45,13154.73,13540.38,13067.43,2123573.0,2776365629.79,3.53,-1.88,-252.69,0.12,BK0524,concept,参股期货
2010-06-21,13161.89,13605.43,13657.52,13093.66,2739950.0,3827068324.78,4.29,3.43,450.7,0.15,BK0524,concept,参股期货
2010-06-22,13555.65,13656.68,13734.96,13484.32,2117373.0,2922486290.32,1.84,0.38,51.25,0.12,BK0524,concept,参股期货
2010-06-23,13584.52,13634.76,13809.41,13465.83,2375730.0,3501993817.93,2.52,-0.16,-21.92,0.13,BK0524,concept,参股期货
2010-06-24,13650.0,13699.14,13886.35,13547.76,1787370.0,2188810234.17,2.48,0.47,64.38,0.1,BK0524,concept,参股期货
2010-06-25,13599.06,13464.15,13711.38,13342.61,2205171.0,2812900483.7,2.69,-1.72,-234.99,0.12,BK0524,concept,参股期货
2010-06-28,13446.7,13192.09,13518.76,13148.64,1727103.0,2162653747.64,2.75,-2.02,-272.06,0.09,BK0524,concept,参股期货
2010-06-29,13213.23,12393.64,13311.97,12352.59,2945037.0,3486668195.8,7.27,-6.05,-798.45,0.16,BK0524,concept,参股期货
2010-06-30,12277.72,12108.93,12368.58,11892.15,2324729.0,2607638231.21,3.84,-2.3,-284.71,0.13,BK0524,concept,参股期货
2010-07-01,12075.92,11888.83,12278.86,11834.47,2176974.0,2552735330.73,3.67,-1.82,-220.1,0.12,BK0524,concept,参股期货
2010-07-02,11878.73,11977.65,12102.5,11516.97,2460054.0,2757479687.85,4.93,0.75,88.82,0.13,BK0524,concept,参股期货
2010-07-05,11838.81,11865.18,12018.73,11610.18,1757761.0,1938790490.44,3.41,-0.94,-112.47,0.1,BK0524,concept,参股期货
2010-07-06,11829.86,12085.04,12148.94,11782.74,2010332.0,2242775748.03,3.09,1.85,219.86,0.11,BK0524,concept,参股期货
2010-07-07,12104.73,12194.28,12298.24,11977.31,2111873.0,2248664457.81,2.66,0.9,109.24,0.12,BK0524,concept,参股期货
2010-07-08,12263.14,12181.46,12428.35,12077.59,2228748.0,2378090353.35,2.88,-0.11,-12.82,0.12,BK0524,concept,参股期货
2010-07-09,12170.11,12479.94,12579.55,12003.62,3421340.0,3836592589.44,4.73,2.45,298.48,0.19,BK0524,concept,参股期货
2010-07-12,12495.95,12663.45,12788.08,12384.08,3121198.0,3386063883.73,3.24,1.47,183.51,0.17,BK0524,concept,参股期货
2010-07-13,12526.21,12384.88,12621.54,12292.03,2598587.0,2606983327.62,2.6,-2.2,-278.57,0.14,BK0524,concept,参股期货
2010-07-14,12418.35,12507.92,12700.25,12363.18,2575399.0,2815927966.23,2.72,0.99,123.04,0.14,BK0524,concept,参股期货
2010-07-15,12505.18,12193.72,12665.82,12170.35,2213642.0,2393537399.42,3.96,-2.51,-314.2,0.12,BK0524,concept,参股期货
2010-07-16,12146.05,12219.22,12286.56,11958.65,1892404.0,1985712646.45,2.69,0.21,25.5,0.1,BK0524,concept,参股期货
2010-07-19,12053.59,12528.22,12615.53,12011.96,2727891.0,3061016199.46,4.94,2.53,309.0,0.15,BK0524,concept,参股期货
2010-07-20,12547.07,12867.54,12947.33,12509.92,4166432.0,4771225048.66,3.49,2.71,339.32,0.23,BK0524,concept,参股期货
2010-07-21,12886.37,12869.0,13061.82,12765.0,3591261.0,3957826224.36,2.31,0.01,1.46,0.2,BK0524,concept,参股期货
2010-07-22,12816.58,13063.77,13128.45,12758.95,3578746.0,3955645982.92,2.87,1.51,194.77,0.2,BK0524,concept,参股期货
2010-07-23,13100.94,13187.26,13310.35,12932.79,4054226.0,4832748857.84,2.89,0.95,123.49,0.22,BK0524,concept,参股期货
2010-07-26,13272.26,13327.4,13442.16,13061.16,3875354.0,4186537721.0,2.89,1.06,140.14,0.21,BK0524,concept,参股期货
2010-07-27,13313.67,13241.04,13450.65,13126.29,3604836.0,3866834286.31,2.43,-0.65,-86.36,0.2,BK0524,concept,参股期货
2010-07-28,13192.1,13641.35,13710.4,13086.77,5259443.0,5880789064.43,4.71,3.02,400.31,0.29,BK0524,concept,参股期货
2010-07-29,13661.77,13853.95,14070.35,13574.84,6699656.0,7802304169.44,3.63,1.56,212.6,0.37,BK0524,concept,参股期货
2010-07-30,13793.07,13739.44,13901.06,13565.76,3965417.0,4626744889.83,2.42,-0.83,-114.51,0.22,BK0524,concept,参股期货
2010-08-02,13742.37,13975.73,14068.53,13686.86,3878916.0,4522136990.75,2.78,1.72,236.29,0.21,BK0524,concept,参股期货
2010-08-03,14028.96,13819.23,14305.45,13778.8,5360001.0,6371284307.88,3.77,-1.12,-156.5,0.29,BK0524,concept,参股期货
2010-08-04,13758.29,13897.93,13972.23,13490.58,3971574.0,4627936407.23,3.49,0.57,78.7,0.22,BK0524,concept,参股期货
2010-08-05,13903.27,13717.19,13993.7,13578.0,3523961.0,4123576094.68,2.99,-1.3,-180.74,0.19,BK0524,concept,参股期货
2010-08-06,13713.31,14010.4,14064.41,13497.34,4437732.0,5780086720.14,4.13,2.14,293.21,0.24,BK0524,concept,参股期货
2010-08-09,13973.24,14120.35,14202.44,13863.69,4170237.0,5119486019.92,2.42,0.78,109.95,0.23,BK0524,concept,参股期货
2010-08-10,14108.86,13511.66,14195.66,13488.44,4262537.0,5301198698.56,5.01,-4.31,-608.69,0.23,BK0524,concept,参股期货
2010-08-11,13457.06,13560.44,13724.9,13387.38,2696562.0,3350817365.42,2.5,0.36,48.78,0.15,BK0524,concept,参股期货
2010-08-12,13388.17,13294.8,13616.32,13208.04,3282786.0,3858378369.0,3.01,-1.96,-265.64,0.18,BK0524,concept,参股期货
2010-08-13,13294.86,13529.06,13572.46,13214.16,2664843.0,3132255415.57,2.7,1.76,234.26,0.15,BK0524,concept,参股期货
2010-08-16,13496.06,13900.28,13980.43,13389.94,3954452.0,4878052083.11,4.36,2.74,371.22,0.22,BK0524,concept,参股期货
2010-08-17,13906.97,13952.19,14084.09,13776.57,4011082.0,4881176226.13,2.21,0.37,51.91,0.22,BK0524,concept,参股期货
2010-08-18,13973.42,13917.16,14133.03,13762.43,4046984.0,5259684140.11,2.66,-0.25,-35.03,0.22,BK0524,concept,参股期货
2010-08-19,13923.98,14033.31,14215.75,13802.48,4585378.0,6055338252.16,2.97,0.83,116.15,0.25,BK0524,concept,参股期货
2010-08-20,13945.66,13605.97,14026.46,13531.25,3772193.0,4691722336.44,3.53,-3.05,-427.34,0.21,BK0524,concept,参股期货
2010-08-23,13577.99,13584.81,13783.76,13457.65,2638381.0,3151260443.05,2.4,-0.16,-21.16,0.14,BK0524,concept,参股期货
2010-08-24,13578.17,13676.34,13846.06,13415.44,3070894.0,3678919999.5,3.17,0.67,91.53,0.17,BK0524,concept,参股期货
2010-08-25,13555.16,13329.12,13779.89,13273.77,4016768.0,4646342038.62,3.7,-2.54,-347.22,0.22,BK0524,concept,参股期货
2010-08-26,13359.17,13360.88,13529.75,13176.05,2909718.0,3346365724.69,2.65,0.24,31.76,0.16,BK0524,concept,参股期货
2010-08-27,13337.19,13384.79,13492.05,13187.91,2579155.0,3073740490.95,2.28,0.18,23.91,0.14,BK0524,concept,参股期货
2010-08-30,13457.92,13646.5,13766.81,13326.08,4127948.0,4818489445.6,3.29,1.96,261.71,0.23,BK0524,concept,参股期货
2010-08-31,13599.81,13584.18,13782.0,13419.63,4353290.0,5214598920.07,2.66,-0.46,-62.32,0.24,BK0524,concept,参股期货
2010-09-01,13614.7,13385.56,13782.55,13240.4,4321361.0,5248331709.53,3.99,-1.46,-198.62,0.24,BK0524,concept,参股期货
2010-09-02,13562.95,13549.94,13739.52,13386.03,4955397.0,6358731358.98,2.64,1.23,164.38,0.27,BK0524,concept,参股期货
2010-09-03,13550.95,13523.89,13714.78,13326.16,4983941.0,5917123004.24,2.87,-0.19,-26.05,0.27,BK0524,concept,参股期货
2010-09-06,13614.73,13906.97,14092.54,13505.6,6777701.0,8539259894.53,4.34,2.83,383.08,0.37,BK0524,concept,参股期货
2010-09-07,13931.47,13920.57,14059.28,13692.63,4624930.0,5934392674.02,2.64,0.1,13.6,0.25,BK0524,concept,参股期货
2010-09-08,13824.75,13919.35,14061.91,13657.35,5030235.0,6570296325.99,2.91,-0.01,-1.22,0.28,BK0524,concept,参股期货
2010-09-09,13956.96,13653.2,14099.01,13582.0,5182234.0,6520978424.45,3.71,-1.91,-266.15,0.28,BK0524,concept,参股期货
2010-09-10,13656.11,13593.9,13810.8,13350.6,4010094.0,4830533048.41,3.37,-0.43,-59.3,0.22,BK0524,concept,参股期货
2010-09-13,13624.07,13757.21,13925.94,13521.28,4189112.0,4885236213.96,2.98,1.2,163.31,0.23,BK0524,concept,参股期货
2010-09-14,13816.05,13707.4,13961.63,13604.85,4247121.0,5222558562.81,2.59,-0.36,-49.81,0.23,BK0524,concept,参股期货
2010-09-15,13728.62,13455.94,13848.44,13380.92,4492958.0,5085469806.36,3.41,-1.83,-251.46,0.25,BK0524,concept,参股期货
2010-09-16,13461.6,13260.26,13707.14,13103.42,4969641.0,6121627153.92,4.49,-1.45,-195.68,0.27,BK0524,concept,参股期货
2010-09-17,13274.42,13148.11,13415.42,13046.08,3357072.0,4195449155.13,2.79,-0.85,-112.15,0.18,BK0524,concept,参股期货
2010-09-20,13156.82,12950.8,13256.43,12870.86,2502632.0,2997324510.27,2.93,-1.5,-197.31,0.14,BK0524,concept,参股期货
2010-09-21,13026.83,12945.85,13119.96,12855.16,1717776.0,2024506710.88,2.04,-0.04,-4.95,0.09,BK0524,concept,参股期货
2010-09-27,13025.86,13151.49,13206.85,12901.66,2376440.0,2914524137.7,2.36,1.59,205.64,0.13,BK0524,concept,参股期货
2010-09-28,13143.04,12964.05,13296.26,12848.15,3676147.0,4395295309.95,3.41,-1.43,-187.44,0.2,BK0524,concept,参股期货
2010-09-29,12952.82,12892.48,13189.78,12799.92,3142875.0,4034038573.23,3.01,-0.55,-71.57,0.17,BK0524,concept,参股期货
2010-09-30,12810.48,13127.68,13233.79,12744.71,3319809.0,4125853454.1,3.79,1.82,235.2,0.18,BK0524,concept,参股期货
2010-10-08,13250.41,13738.13,13890.47,13169.35,5592874.0,6987197573.51,5.49,4.65,610.45,0.31,BK0524,concept,参股期货
2010-10-11,13885.77,14566.04,14721.18,13796.76,10196191.0,13851601245.21,6.73,6.03,827.91,0.56,BK0524,concept,参股期货
2010-10-12,14674.76,14881.9,15044.75,14424.28,9376070.0,13608936467.22,4.26,2.17,315.86,0.51,BK0524,concept,参股期货
2010-10-13,14910.69,15036.77,15244.19,14690.87,8653680.0,12459029516.36,3.72,1.04,154.87,0.47,BK0524,concept,参股期货
2010-10-14,15186.36,15255.3,15875.73,14874.42,11532868.0,17497626741.66,6.66,1.45,218.53,0.63,BK0524,concept,参股期货
2010-10-15,15112.45,15972.98,16159.35,14918.62,10966202.0,17106809675.83,8.13,4.7,717.68,0.6,BK0524,concept,参股期货
2010-10-18,16130.47,16054.46,16756.53,15521.21,13730560.0,21384583240.04,7.73,0.51,81.48,0.75,BK0524,concept,参股期货
2010-10-19,16013.55,16378.07,16505.95,15717.43,8305131.0,12326263257.32,4.91,2.02,323.61,0.46,BK0524,concept,参股期货
2010-10-20,15942.71,16497.68,16957.48,15762.89,10807285.0,16769108728.78,7.29,0.73,119.61,0.59,BK0524,concept,参股期货
2010-10-21,16516.8,16366.31,16835.23,16070.56,7513575.0,11402901535.99,4.64,-0.8,-131.37,0.41,BK0524,concept,参股期货
2010-10-22,16278.99,16272.23,16619.87,15892.0,8800797.0,13867781756.13,4.45,-0.57,-94.08,0.48,BK0524,concept,参股期货
2010-10-25,16279.37,17315.95,17399.69,16126.03,11364410.0,18356945096.09,7.83,6.41,1043.72,0.62,BK0524,concept,参股期货
2010-10-26,17424.07,17403.33,17965.18,17020.67,12453555.0,19810046441.58,5.45,0.5,87.38,0.68,BK0524,concept,参股期货
2010-10-27,17295.24,16948.1,17753.25,16848.22,8625917.0,13251511075.15,5.2,-2.62,-455.23,0.47,BK0524,concept,参股期货
2010-10-28,16768.22,17050.08,17341.87,16650.25,6696250.0,9937140712.63,4.08,0.6,101.98,0.37,BK0524,concept,参股期货
2010-10-29,17074.72,16829.95,17292.1,16565.05,9468752.0,12010416020.96,4.26,-1.29,-220.13,0.52,BK0524,concept,参股期货
2010-11-01,16791.72,17318.18,17511.89,16677.61,9992683.0,13220326270.43,4.96,2.9,488.23,0.55,BK0524,concept,参股期货
2010-11-02,17322.31,17193.01,17835.84,16883.98,10983477.0,16431572646.23,5.5,-0.72,-125.17,0.6,BK0524,concept,参股期货
