日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-12-20,999.86,984.96,1001.03,984.53,5948495.0,4663749376.0,1.65,-1.5,-15.04,1.82,BK0904,concept,广电
2019-12-23,980.53,954.44,980.56,953.56,5119796.0,3863205056.0,2.74,-3.1,-30.52,1.57,BK0904,concept,广电
2019-12-24,956.33,969.73,969.73,953.08,3187451.0,2606669424.0,1.74,1.6,15.29,0.98,BK0904,concept,广电
2019-12-25,971.71,982.29,984.99,967.92,3628015.0,3251909936.0,1.76,1.3,12.56,1.11,BK0904,concept,广电
2019-12-26,977.69,989.8,990.36,975.94,3733800.0,3283000704.0,1.47,0.76,7.51,1.14,BK0904,concept,广电
2019-12-27,990.05,976.7,996.6,976.42,4165365.0,3376210368.0,2.04,-1.32,-13.1,1.28,BK0904,concept,广电
2019-12-30,975.04,988.47,988.96,958.39,4160980.0,3568728096.0,3.13,1.21,11.77,1.28,BK0904,concept,广电
2019-12-31,986.98,989.56,990.79,983.63,3385486.0,2921899072.0,0.72,0.11,1.09,1.04,BK0904,concept,广电
2020-01-02,1000.64,1026.19,1027.6,1000.64,6889540.0,5717783808.0,2.72,3.7,36.63,2.11,BK0904,concept,广电
2020-01-03,1029.59,1039.33,1043.95,1025.75,5898598.0,5284404736.0,1.77,1.28,13.14,1.81,BK0904,concept,广电
2020-01-06,1030.54,1063.77,1071.15,1024.33,8336012.0,6655834112.0,4.5,2.35,24.44,2.56,BK0904,concept,广电
2020-01-07,1064.67,1115.68,1121.34,1064.67,11107991.0,8984436224.0,5.33,4.88,51.91,3.41,BK0904,concept,广电
2020-01-08,1109.22,1087.21,1113.07,1085.51,11823238.0,9110868992.0,2.47,-2.55,-28.47,3.63,BK0904,concept,广电
2020-01-09,1100.04,1094.34,1105.77,1081.57,7864244.0,6554922752.0,2.23,0.66,7.13,2.41,BK0904,concept,广电
2020-01-10,1093.33,1082.66,1095.41,1076.26,5984661.0,5034592256.0,1.75,-1.07,-11.68,1.84,BK0904,concept,广电
2020-01-13,1079.93,1096.05,1096.05,1070.91,6207619.0,5011574784.0,2.32,1.24,13.39,1.9,BK0904,concept,广电
2020-01-14,1095.88,1128.63,1136.58,1095.88,11602557.0,9086511360.0,3.71,2.97,32.58,3.56,BK0904,concept,广电
2020-01-15,1140.31,1123.42,1144.68,1117.88,10202737.0,8082724608.0,2.37,-0.46,-5.21,3.13,BK0904,concept,广电
2020-01-16,1118.49,1103.35,1118.79,1099.95,7315397.0,5916020480.0,1.68,-1.79,-20.07,2.24,BK0904,concept,广电
2020-01-17,1105.98,1107.14,1114.03,1103.84,6175549.0,5521592320.0,0.92,0.34,3.79,1.89,BK0904,concept,广电
2020-01-20,1102.31,1107.19,1107.19,1089.22,6607655.0,5943097856.0,1.62,0.0,0.05,2.03,BK0904,concept,广电
2020-01-21,1101.66,1080.96,1101.66,1080.96,6162595.0,4947222528.0,1.87,-2.37,-26.23,1.89,BK0904,concept,广电
2020-01-22,1065.15,1080.74,1087.55,1055.6,8193014.0,6209818624.0,2.96,-0.02,-0.22,2.51,BK0904,concept,广电
2020-01-23,1066.64,1025.53,1077.01,1016.07,7029787.0,5855162624.0,5.64,-5.11,-55.21,2.16,BK0904,concept,广电
2020-02-03,924.65,928.71,933.69,924.05,3588155.0,2490262864.0,0.94,-9.44,-96.82,1.1,BK0904,concept,广电
2020-02-04,876.57,927.88,935.57,876.57,7973333.0,5850667776.0,6.35,-0.09,-0.83,2.45,BK0904,concept,广电
2020-02-05,932.41,956.46,971.44,931.95,7147431.0,5754076672.0,4.26,3.08,28.58,2.19,BK0904,concept,广电
2020-02-06,964.1,1004.7,1009.39,953.47,9294020.0,7460191232.0,5.85,5.04,48.24,2.85,BK0904,concept,广电
2020-02-07,1016.68,1034.97,1036.47,1009.56,9726149.0,8380173568.0,2.68,3.01,30.27,2.98,BK0904,concept,广电
2020-02-10,1036.33,1030.13,1047.39,1018.54,8011817.0,7151004928.0,2.79,-0.47,-4.84,2.46,BK0904,concept,广电
2020-02-11,1035.4,1023.6,1037.01,1017.34,6252162.0,5376434432.0,1.91,-0.63,-6.53,1.92,BK0904,concept,广电
2020-02-12,1019.62,1044.68,1046.34,1014.41,7548436.0,6173659904.0,3.12,2.06,21.08,2.31,BK0904,concept,广电
2020-02-13,1042.43,1018.63,1043.31,1013.21,6636840.0,5690975488.0,2.88,-2.49,-26.05,2.04,BK0904,concept,广电
2020-02-14,1016.47,1015.33,1026.94,1006.9,5629887.0,4590519808.0,1.97,-0.32,-3.3,1.73,BK0904,concept,广电
2020-02-17,1018.43,1061.42,1061.48,1018.22,7209578.0,5960852480.0,4.26,4.54,46.09,2.21,BK0904,concept,广电
2020-02-18,1068.86,1097.68,1098.29,1063.86,10023075.0,8809387776.0,3.24,3.42,36.26,3.07,BK0904,concept,广电
2020-02-19,1098.4,1085.25,1098.4,1079.42,9098189.0,8433273088.0,1.73,-1.13,-12.43,2.79,BK0904,concept,广电
2020-02-20,1084.14,1110.59,1110.8,1075.58,9069694.0,8156834560.0,3.25,2.33,25.34,2.78,BK0904,concept,广电
2020-02-21,1107.6,1127.29,1142.98,1107.6,10822596.0,9600683776.0,3.19,1.5,16.7,3.32,BK0904,concept,广电
2020-02-24,1127.01,1159.82,1166.06,1115.0,10888546.0,9612134656.0,4.53,2.89,32.53,3.34,BK0904,concept,广电
2020-02-25,1136.03,1153.22,1155.28,1105.92,12982286.0,10535064064.0,4.26,-0.57,-6.6,3.98,BK0904,concept,广电
2020-02-26,1203.21,1169.39,1211.07,1163.85,15560884.0,13013418240.0,4.09,1.4,16.17,4.77,BK0904,concept,广电
2020-02-27,1157.92,1132.96,1162.03,1110.7,11692638.0,8915992576.0,4.39,-3.12,-36.43,3.59,BK0904,concept,广电
2020-02-28,1078.68,1043.91,1092.09,1042.79,9407064.0,6990835968.0,4.35,-7.86,-89.05,2.88,BK0904,concept,广电
2020-03-02,1051.75,1092.79,1095.92,1047.05,8500337.0,6439464704.0,4.68,4.68,48.88,2.61,BK0904,concept,广电
2020-03-03,1144.81,1121.36,1156.34,1110.25,13313272.0,9945199616.0,4.22,2.61,28.57,4.08,BK0904,concept,广电
2020-03-04,1100.97,1111.69,1123.62,1091.46,7990716.0,5857856768.0,2.87,-0.86,-9.67,2.45,BK0904,concept,广电
2020-03-05,1130.01,1124.16,1134.12,1111.09,7785445.0,6075481856.0,2.07,1.12,12.47,2.39,BK0904,concept,广电
2020-03-06,1103.2,1106.41,1118.24,1097.11,5828706.0,4590121216.0,1.88,-1.58,-17.75,1.79,BK0904,concept,广电
2020-03-09,1089.79,1057.17,1096.38,1057.17,7201873.0,5570466048.0,3.54,-4.45,-49.24,2.21,BK0904,concept,广电
2020-03-10,1039.27,1086.24,1086.24,1028.52,7873858.0,5672246272.0,5.46,2.75,29.07,2.41,BK0904,concept,广电
2020-03-11,1088.79,1067.89,1099.2,1067.89,7467640.0,5567059200.0,2.88,-1.69,-18.35,2.29,BK0904,concept,广电
2020-03-12,1049.48,1047.51,1060.25,1034.56,5531234.0,4041030224.0,2.41,-1.91,-20.38,1.7,BK0904,concept,广电
2020-03-13,988.89,1037.46,1047.8,988.89,6502968.0,4653468928.0,5.62,-0.96,-10.05,1.99,BK0904,concept,广电
2020-03-16,1045.97,981.49,1046.86,980.37,6092134.0,4349248000.0,6.41,-5.39,-55.97,1.87,BK0904,concept,广电
2020-03-17,989.22,986.28,1000.73,953.59,5342240.0,3641983840.0,4.8,0.49,4.79,1.64,BK0904,concept,广电
2020-03-18,995.53,966.94,1010.39,966.85,5655391.0,4090085536.0,4.41,-1.96,-19.34,1.73,BK0904,concept,广电
2020-03-19,965.15,983.58,987.12,952.42,5121274.0,3557651552.0,3.59,1.72,16.64,1.57,BK0904,concept,广电
2020-03-20,992.85,993.74,997.83,977.35,4060569.0,2945821184.0,2.08,1.03,10.16,1.25,BK0904,concept,广电
2020-03-23,967.64,951.0,981.27,948.06,4199094.0,2955308768.0,3.34,-4.3,-42.74,1.29,BK0904,concept,广电
2020-03-24,968.19,971.58,974.57,941.94,4310048.0,3145048976.0,3.43,2.16,20.58,1.32,BK0904,concept,广电
2020-03-25,992.11,996.92,999.26,983.56,4803222.0,3699048656.0,1.62,2.61,25.34,1.47,BK0904,concept,广电
2020-03-26,993.63,980.61,996.37,979.64,3696240.0,3076372864.0,1.68,-1.64,-16.31,1.13,BK0904,concept,广电
2020-03-27,991.82,969.18,994.17,968.57,3162812.0,2711197456.0,2.61,-1.17,-11.43,0.97,BK0904,concept,广电
2020-03-30,955.93,938.17,955.93,929.42,3387168.0,2459927040.0,2.74,-3.2,-31.01,1.04,BK0904,concept,广电
2020-03-31,948.93,928.81,950.62,928.45,2564560.0,1970369232.0,2.36,-1.0,-9.36,0.79,BK0904,concept,广电
2020-04-01,927.06,926.04,943.73,924.21,3207351.0,2141604752.0,2.1,-0.3,-2.77,0.98,BK0904,concept,广电
2020-04-02,922.08,950.43,950.43,921.21,3229333.0,2292334288.0,3.16,2.63,24.39,0.99,BK0904,concept,广电
2020-04-03,950.22,942.79,950.74,936.79,2862714.0,2124472032.0,1.47,-0.8,-7.64,0.88,BK0904,concept,广电
2020-04-07,958.52,972.07,973.74,956.9,4006984.0,2938558912.0,1.79,3.11,29.28,1.23,BK0904,concept,广电
2020-04-08,968.8,985.37,989.89,967.61,4161030.0,3204660496.0,2.29,1.37,13.3,1.28,BK0904,concept,广电
2020-04-09,992.2,1014.08,1017.44,990.95,5908796.0,4290035584.0,2.69,2.91,28.71,1.81,BK0904,concept,广电
2020-04-10,1015.04,974.24,1015.04,972.64,5504237.0,3871478096.0,4.18,-3.93,-39.84,1.69,BK0904,concept,广电
2020-04-13,966.47,954.44,966.47,951.17,3300841.0,2261608624.0,1.57,-2.03,-19.8,1.01,BK0904,concept,广电
2020-04-14,958.07,971.4,971.92,958.07,3050945.0,2235603200.0,1.45,1.78,16.96,0.94,BK0904,concept,广电
2020-04-15,969.21,957.55,971.13,956.8,2873310.0,2096659248.0,1.48,-1.43,-13.85,0.88,BK0904,concept,广电
2020-04-16,954.22,965.31,968.07,950.28,2721116.0,2131295328.0,1.86,0.81,7.76,0.83,BK0904,concept,广电
2020-04-17,968.76,959.93,977.25,959.68,2996440.0,2337643456.0,1.82,-0.56,-5.38,0.92,BK0904,concept,广电
2020-04-20,963.33,963.91,964.23,957.54,2400160.0,2193038752.0,0.7,0.41,3.98,0.74,BK0904,concept,广电
2020-04-21,961.12,960.59,961.12,947.23,2706017.0,2071644896.0,1.44,-0.34,-3.32,0.83,BK0904,concept,广电
2020-04-22,951.47,964.53,964.58,949.11,3077254.0,2475578656.0,1.61,0.41,3.94,0.94,BK0904,concept,广电
2020-04-23,965.48,957.26,966.16,957.14,3337543.0,2573965424.0,0.94,-0.75,-7.27,1.02,BK0904,concept,广电
2020-04-24,958.82,933.97,958.82,930.23,3943273.0,3010048576.0,2.99,-2.43,-23.29,1.21,BK0904,concept,广电
2020-04-27,936.57,927.04,941.27,925.92,3871653.0,2776198032.0,1.64,-0.74,-6.93,1.19,BK0904,concept,广电
2020-04-28,921.74,899.64,924.81,877.15,4851386.0,3248291328.0,5.14,-2.96,-27.4,1.49,BK0904,concept,广电
2020-04-29,892.31,892.14,902.99,891.68,3325094.0,2409626064.0,1.26,-0.83,-7.5,1.02,BK0904,concept,广电
2020-04-30,896.97,915.82,918.8,895.58,3469391.0,2428284912.0,2.6,2.65,23.68,1.06,BK0904,concept,广电
2020-05-06,906.18,932.55,932.64,905.39,3355508.0,2534192160.0,2.98,1.83,16.73,1.03,BK0904,concept,广电
2020-05-07,932.62,927.78,937.36,926.09,3037907.0,2457162384.0,1.21,-0.51,-4.77,0.93,BK0904,concept,广电
2020-05-08,930.88,938.03,941.79,930.88,3018003.0,2622128464.0,1.18,1.1,10.25,0.93,BK0904,concept,广电
2020-05-11,941.14,936.45,946.37,931.1,3554372.0,2876006416.0,1.63,-0.17,-1.58,1.09,BK0904,concept,广电
2020-05-12,934.07,929.99,934.07,918.58,2833934.0,2253220480.0,1.65,-0.69,-6.46,0.87,BK0904,concept,广电
2020-05-13,926.68,933.05,935.12,923.52,3362845.0,2318556016.0,1.25,0.33,3.06,1.03,BK0904,concept,广电
2020-05-14,929.09,931.5,938.48,926.3,3722353.0,2441825104.0,1.31,-0.17,-1.55,1.14,BK0904,concept,广电
2020-05-15,935.67,934.5,943.18,930.06,3125226.0,2290326256.0,1.41,0.32,3.0,0.96,BK0904,concept,广电
2020-05-18,935.18,914.6,935.18,914.03,3435635.0,2416827888.0,2.26,-2.13,-19.9,1.05,BK0904,concept,广电
2020-05-19,919.47,924.29,924.29,915.46,3523784.0,2465509552.0,0.97,1.06,9.69,1.08,BK0904,concept,广电
2020-05-20,922.21,918.9,930.19,915.13,5946299.0,3456384816.0,1.63,-0.58,-5.39,1.82,BK0904,concept,广电
2020-05-21,923.76,933.3,951.8,922.77,8212829.0,4489752832.0,3.16,1.57,14.4,2.52,BK0904,concept,广电
2020-05-22,931.21,918.99,931.48,905.81,7457998.0,4367261952.0,2.75,-1.53,-14.31,2.29,BK0904,concept,广电
2020-05-25,914.47,902.02,914.47,899.72,4260066.0,2578140032.0,1.61,-1.85,-16.97,1.31,BK0904,concept,广电
2020-05-26,903.14,926.76,926.95,903.14,4440617.0,2974290032.0,2.64,2.74,24.74,1.36,BK0904,concept,广电
2020-05-27,929.12,921.59,929.19,915.91,4160603.0,2886406896.0,1.43,-0.56,-5.17,1.28,BK0904,concept,广电
2020-05-28,926.07,923.57,941.91,912.73,5148050.0,3451909936.0,3.17,0.21,1.98,1.58,BK0904,concept,广电
2020-05-29,940.15,955.81,960.79,938.01,7646904.0,5011567360.0,2.47,3.49,32.24,2.34,BK0904,concept,广电
2020-06-01,958.19,980.26,983.59,956.36,8415381.0,5924065024.0,2.85,2.56,24.45,2.58,BK0904,concept,广电
2020-06-02,987.16,985.9,1000.58,984.6,7638179.0,5569114368.0,1.63,0.58,5.64,2.34,BK0904,concept,广电
2020-06-03,988.98,980.95,989.98,976.92,5980282.0,4215970064.0,1.32,-0.5,-4.95,1.83,BK0904,concept,广电
2020-06-04,984.51,980.13,984.51,970.06,7168175.0,5538198528.0,1.47,-0.08,-0.82,2.2,BK0904,concept,广电
2020-06-05,981.39,1000.38,1000.38,981.39,7961867.0,6036919808.0,1.94,2.07,20.25,2.44,BK0904,concept,广电
2020-06-08,1002.27,984.99,1002.27,984.27,6027460.0,4991494912.0,1.8,-1.54,-15.39,1.85,BK0904,concept,广电
2020-06-09,984.93,990.94,993.2,978.1,4436898.0,3743734896.0,1.53,0.6,5.95,1.36,BK0904,concept,广电
2020-06-10,986.61,980.94,986.61,975.43,4095883.0,3392657872.0,1.13,-1.01,-10.0,1.26,BK0904,concept,广电
2020-06-11,980.57,982.48,995.97,976.11,4606479.0,3807633616.0,2.02,0.16,1.54,1.41,BK0904,concept,广电
2020-06-12,960.34,980.9,984.43,958.31,4868803.0,3936898192.0,2.66,-0.16,-1.58,1.49,BK0904,concept,广电
2020-06-15,979.58,991.49,1001.98,978.55,7703500.0,6250350080.0,2.39,1.08,10.59,2.36,BK0904,concept,广电
2020-06-16,999.6,1004.47,1008.75,996.56,6320260.0,5582178048.0,1.23,1.31,12.98,1.94,BK0904,concept,广电
2020-06-17,1006.02,1012.2,1012.25,996.31,7040507.0,5809065984.0,1.59,0.77,7.73,2.16,BK0904,concept,广电
2020-06-18,1009.48,1004.28,1015.04,1000.43,6040586.0,4907153408.0,1.44,-0.78,-7.92,1.85,BK0904,concept,广电
2020-06-19,1002.4,1004.46,1006.55,999.8,5100860.0,4522272512.0,0.67,0.02,0.18,1.56,BK0904,concept,广电
2020-06-22,1005.5,1002.11,1008.74,998.23,4601409.0,4030817328.0,1.05,-0.23,-2.35,1.41,BK0904,concept,广电
2020-06-23,1002.65,1010.53,1010.87,996.84,4747329.0,4364556288.0,1.4,0.84,8.42,1.46,BK0904,concept,广电
2020-06-24,1008.26,1000.55,1009.86,1000.17,4496536.0,4347060480.0,0.96,-0.99,-9.98,1.38,BK0904,concept,广电
2020-06-29,995.67,978.2,995.67,975.81,5105027.0,4385806080.0,1.98,-2.23,-22.35,1.57,BK0904,concept,广电
2020-06-30,982.69,984.31,986.72,980.04,3646379.0,3285922176.0,0.68,0.62,6.11,1.12,BK0904,concept,广电
2020-07-01,985.46,980.85,986.42,974.75,4107222.0,4027799216.0,1.19,-0.35,-3.46,1.26,BK0904,concept,广电
2020-07-02,979.37,998.62,1000.1,977.13,5364596.0,5050163200.0,2.34,1.81,17.77,1.65,BK0904,concept,广电
2020-07-03,1000.34,1007.62,1007.65,995.82,6483502.0,5256120832.0,1.18,0.9,9.0,1.99,BK0904,concept,广电
2020-07-06,1013.44,1051.03,1051.62,1013.44,10157964.0,7272760320.0,3.79,4.31,43.41,3.12,BK0904,concept,广电
2020-07-07,1058.29,1059.32,1075.6,1046.12,10917136.0,7838203136.0,2.8,0.79,8.29,3.35,BK0904,concept,广电
2020-07-08,1057.07,1074.08,1075.41,1048.96,8616049.0,6229123840.0,2.5,1.39,14.76,2.64,BK0904,concept,广电
2020-07-09,1075.39,1101.77,1101.77,1075.13,10705972.0,8046495232.0,2.48,2.58,27.69,3.28,BK0904,concept,广电
2020-07-10,1095.7,1092.14,1113.79,1089.34,9538728.0,7795533056.0,2.22,-0.87,-9.63,2.93,BK0904,concept,广电
2020-07-13,1093.36,1121.3,1121.3,1089.49,8510276.0,7024217344.0,2.91,2.67,29.16,2.61,BK0904,concept,广电
2020-07-14,1128.11,1124.34,1137.58,1103.79,9361786.0,7779908352.0,3.01,0.27,3.04,2.87,BK0904,concept,广电
2020-07-15,1121.31,1069.65,1123.92,1068.34,8486946.0,6830201856.0,4.94,-4.86,-54.69,2.6,BK0904,concept,广电
2020-07-16,1066.74,1018.55,1075.92,1017.91,7018833.0,5438628864.0,5.42,-4.78,-51.1,2.15,BK0904,concept,广电
2020-07-17,1020.15,1012.58,1029.78,1002.02,5519662.0,3988148176.0,2.73,-0.59,-5.97,1.69,BK0904,concept,广电
2020-07-20,1020.29,1047.51,1047.51,1018.76,5302085.0,3932474032.0,2.84,3.45,34.93,1.63,BK0904,concept,广电
2020-07-21,1055.53,1053.65,1063.33,1044.91,5032385.0,4010663296.0,1.76,0.59,6.14,1.54,BK0904,concept,广电
2020-07-22,1050.07,1052.13,1063.54,1044.83,5132284.0,4078857808.0,1.78,-0.14,-1.52,1.57,BK0904,concept,广电
2020-07-23,1043.58,1039.21,1045.97,1011.66,5383863.0,4033119328.0,3.26,-1.23,-12.92,1.65,BK0904,concept,广电
2020-07-24,1032.57,998.13,1041.18,993.96,6019284.0,4300927744.0,4.54,-3.95,-41.08,1.85,BK0904,concept,广电
2020-07-27,999.56,996.65,1003.97,986.52,3433140.0,2652409568.0,1.75,-0.15,-1.48,1.05,BK0904,concept,广电
2020-07-28,1000.64,1003.78,1008.41,996.36,3113822.0,2303421408.0,1.21,0.72,7.13,0.95,BK0904,concept,广电
2020-07-29,1001.72,1028.89,1029.24,996.64,4608401.0,3184309184.0,3.25,2.5,25.11,1.41,BK0904,concept,广电
2020-07-30,1032.93,1024.35,1036.81,1022.76,6106032.0,3965566544.0,1.37,-0.44,-4.54,1.87,BK0904,concept,广电
2020-07-31,1021.5,1033.5,1037.33,1017.86,4813757.0,3386980896.0,1.9,0.89,9.15,1.48,BK0904,concept,广电
2020-08-03,1039.54,1061.96,1062.34,1039.54,6057043.0,4314010112.0,2.21,2.75,28.46,1.86,BK0904,concept,广电
2020-08-04,1063.73,1051.56,1064.09,1046.54,5318335.0,3980758832.0,1.65,-0.98,-10.4,1.63,BK0904,concept,广电
2020-08-05,1052.86,1058.56,1061.44,1039.08,5244058.0,3705338992.0,2.13,0.67,7.0,1.61,BK0904,concept,广电
2020-08-06,1059.45,1053.1,1060.22,1040.82,4548918.0,3206255328.0,1.83,-0.52,-5.46,1.39,BK0904,concept,广电
2020-08-07,1052.51,1052.52,1058.2,1019.45,6444048.0,4486671104.0,3.68,-0.06,-0.58,1.98,BK0904,concept,广电
2020-08-10,1060.38,1087.57,1092.54,1060.05,7664350.0,5360758784.0,3.09,3.33,35.05,2.35,BK0904,concept,广电
2020-08-11,1096.84,1051.73,1096.84,1050.81,8513255.0,6316538624.0,4.23,-3.3,-35.84,2.61,BK0904,concept,广电
2020-08-12,1046.21,1058.14,1058.14,1036.25,6478487.0,4526915328.0,2.08,0.61,6.41,1.99,BK0904,concept,广电
2020-08-13,1055.97,1053.27,1064.33,1052.08,4865037.0,3266180640.0,1.16,-0.46,-4.87,1.49,BK0904,concept,广电
2020-08-14,1052.11,1059.37,1060.18,1043.19,3722350.0,2542456256.0,1.61,0.58,6.1,1.14,BK0904,concept,广电
2020-08-17,1060.2,1072.88,1076.56,1057.67,4843805.0,3537819392.0,1.78,1.28,13.51,1.49,BK0904,concept,广电
2020-08-18,1072.73,1076.06,1079.38,1069.62,4641390.0,3516781328.0,0.91,0.3,3.18,1.42,BK0904,concept,广电
2020-08-19,1076.13,1061.67,1076.23,1059.86,4938131.0,3368655488.0,1.52,-1.34,-14.39,1.51,BK0904,concept,广电
2020-08-20,1055.86,1067.18,1077.39,1049.15,6256802.0,4097143584.0,2.66,0.52,5.51,1.92,BK0904,concept,广电
2020-08-21,1069.68,1075.1,1081.11,1066.03,6508088.0,4431994368.0,1.41,0.74,7.92,2.0,BK0904,concept,广电
2020-08-24,1076.11,1075.0,1084.0,1059.32,5443937.0,3788169280.0,2.3,-0.01,-0.1,1.67,BK0904,concept,广电
2020-08-25,1076.17,1075.96,1084.96,1071.74,6276265.0,4553081088.0,1.23,0.09,0.96,1.92,BK0904,concept,广电
2020-08-26,1076.36,1057.03,1079.19,1051.81,5984182.0,4593431040.0,2.54,-1.76,-18.93,1.84,BK0904,concept,广电
2020-08-27,1077.39,1091.71,1101.88,1077.39,9004533.0,6935363584.0,2.32,3.28,34.68,2.76,BK0904,concept,广电
2020-08-28,1083.68,1082.89,1084.46,1068.31,6841461.0,5421307904.0,1.48,-0.81,-8.82,2.1,BK0904,concept,广电
2020-08-31,1080.72,1074.6,1091.43,1074.55,5624254.0,4412672512.0,1.56,-0.77,-8.29,1.72,BK0904,concept,广电
2020-09-01,1075.18,1080.75,1080.75,1063.19,4556090.0,3556400576.0,1.63,0.57,6.15,1.4,BK0904,concept,广电
2020-09-02,1080.46,1088.1,1094.32,1074.67,6272336.0,4516652288.0,1.82,0.68,7.35,1.92,BK0904,concept,广电
2020-09-03,1085.59,1072.68,1086.12,1068.98,5797108.0,4272249904.0,1.58,-1.42,-15.42,1.78,BK0904,concept,广电
2020-09-04,1056.06,1077.81,1078.72,1054.27,5397033.0,3922282352.0,2.28,0.48,5.13,1.66,BK0904,concept,广电
2020-09-07,1078.48,1076.07,1095.55,1068.55,7180330.0,5256245248.0,2.51,-0.16,-1.74,2.2,BK0904,concept,广电
2020-09-08,1073.25,1101.31,1102.13,1068.77,7880342.0,5268574208.0,3.1,2.35,25.24,2.42,BK0904,concept,广电
2020-09-09,1087.24,1060.2,1096.76,1059.28,9247800.0,6040886016.0,3.4,-3.73,-41.11,2.84,BK0904,concept,广电
2020-09-10,1067.51,1012.29,1070.56,1009.78,7191598.0,4782256896.0,5.73,-4.52,-47.91,2.21,BK0904,concept,广电
2020-09-11,999.98,1024.02,1027.2,999.73,4358202.0,2848688640.0,2.71,1.16,11.73,1.34,BK0904,concept,广电
2020-09-14,1025.61,1044.39,1047.03,1025.61,6366195.0,4316256512.0,2.09,1.99,20.37,1.95,BK0904,concept,广电
2020-09-15,1044.18,1045.18,1045.18,1033.06,4603804.0,3275863344.0,1.16,0.08,0.79,1.41,BK0904,concept,广电
2020-09-16,1043.49,1034.28,1043.49,1029.02,3709708.0,2494131392.0,1.38,-1.04,-10.9,1.14,BK0904,concept,广电
2020-09-17,1033.29,1033.97,1040.29,1025.21,3711020.0,2515927200.0,1.46,-0.03,-0.31,1.14,BK0904,concept,广电
2020-09-18,1033.64,1043.51,1045.5,1029.53,4153913.0,2898979264.0,1.54,0.92,9.54,1.27,BK0904,concept,广电
2020-09-21,1045.69,1043.23,1049.67,1039.95,3206794.0,2370382976.0,0.93,-0.03,-0.28,0.98,BK0904,concept,广电
2020-09-22,1034.63,1021.97,1038.45,1020.06,2970383.0,2156279008.0,1.76,-2.04,-21.26,0.91,BK0904,concept,广电
2020-09-23,1026.4,1029.82,1031.83,1022.93,3108953.0,2154715376.0,0.87,0.77,7.85,0.95,BK0904,concept,广电
2020-09-24,1024.24,999.82,1024.39,999.71,3335909.0,2274403328.0,2.4,-2.91,-30.0,1.02,BK0904,concept,广电
2020-09-25,1005.0,995.59,1006.44,991.43,2152998.0,1584012912.0,1.5,-0.42,-4.23,0.66,BK0904,concept,广电
2020-09-28,998.24,983.4,1002.08,983.4,2076827.0,1543493760.0,1.88,-1.22,-12.19,0.64,BK0904,concept,广电
2020-09-29,986.11,990.47,999.11,986.11,2179527.0,1602210384.0,1.32,0.72,7.07,0.67,BK0904,concept,广电
2020-09-30,994.89,985.8,995.55,980.48,2380403.0,1592063968.0,1.52,-0.47,-4.67,0.73,BK0904,concept,广电
2020-10-09,997.38,1012.16,1013.25,997.38,2657312.0,1853686416.0,1.61,2.67,26.36,0.81,BK0904,concept,广电
2020-10-12,1019.93,1045.55,1045.75,1018.28,4079938.0,2928704624.0,2.71,3.3,33.39,1.25,BK0904,concept,广电
2020-10-13,1044.3,1043.58,1044.47,1036.07,2870476.0,2211137504.0,0.8,-0.19,-1.97,0.88,BK0904,concept,广电
2020-10-14,1043.34,1030.11,1043.99,1028.53,2537372.0,1843723328.0,1.48,-1.29,-13.47,0.78,BK0904,concept,广电
2020-10-15,1026.43,1018.48,1027.33,1015.97,2694839.0,1889446960.0,1.1,-1.13,-11.63,0.83,BK0904,concept,广电
2020-10-16,1018.98,1018.83,1020.51,1011.38,2098819.0,1397155984.0,0.9,0.03,0.35,0.64,BK0904,concept,广电
2020-10-19,1025.8,1019.03,1033.32,1016.08,3217401.0,1903205840.0,1.69,0.02,0.2,0.99,BK0904,concept,广电
2020-10-20,1020.24,1030.73,1030.97,1013.22,3688604.0,2096609024.0,1.74,1.15,11.7,1.13,BK0904,concept,广电
2020-10-21,1030.33,1023.57,1030.39,1012.84,2880574.0,1889302592.0,1.7,-0.69,-7.16,0.88,BK0904,concept,广电
2020-10-22,1020.29,1026.25,1029.1,1009.36,2954846.0,2052173952.0,1.93,0.26,2.68,0.91,BK0904,concept,广电
2020-10-23,1025.36,1015.56,1030.51,1013.77,2881205.0,2194981200.0,1.63,-1.04,-10.69,0.88,BK0904,concept,广电
2020-10-26,1013.36,1008.64,1014.46,1002.4,2270701.0,1645420800.0,1.19,-0.68,-6.92,0.7,BK0904,concept,广电
2020-10-27,1003.73,1001.84,1007.42,993.78,2597570.0,1899965856.0,1.35,-0.67,-6.8,0.8,BK0904,concept,广电
2020-10-28,1003.46,998.35,1004.95,987.35,3101844.0,2202743712.0,1.76,-0.35,-3.49,0.95,BK0904,concept,广电
2020-10-29,984.04,999.29,1001.77,980.47,3033801.0,2165419552.0,2.13,0.09,0.94,0.93,BK0904,concept,广电
2020-10-30,997.89,956.3,999.25,955.64,3412662.0,2403320304.0,4.36,-4.3,-42.99,1.05,BK0904,concept,广电
2020-11-02,953.99,953.47,959.8,945.08,3267865.0,2300176656.0,1.54,-0.3,-2.83,1.0,BK0904,concept,广电
2020-11-03,954.45,976.78,977.25,952.06,3472720.0,2537370576.0,2.64,2.44,23.31,1.06,BK0904,concept,广电
2020-11-04,979.74,965.6,980.0,959.94,2463759.0,1835463472.0,2.05,-1.14,-11.18,0.76,BK0904,concept,广电
