日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-08-26,1002.8,1023.66,1037.37,1001.39,9920141.0,10949909504.0,3.6,2.37,23.66,5.38,BK1006,concept,碳基材料
2021-08-27,1001.5,1017.14,1019.57,1000.3,7875012.0,8375215616.0,1.88,-0.64,-6.52,4.27,BK1006,concept,碳基材料
2021-08-30,1018.59,1072.96,1076.09,1018.01,8895974.0,10202574592.0,5.71,5.49,55.82,4.83,BK1006,concept,碳基材料
2021-08-31,1068.09,1067.72,1075.14,1051.55,10403436.0,12575717120.0,2.2,-0.49,-5.24,5.65,BK1006,concept,碳基材料
2021-09-01,1070.44,1017.65,1072.52,1011.31,10422068.0,12581968896.0,5.73,-4.69,-50.07,5.66,BK1006,concept,碳基材料
2021-09-02,1015.6,1040.41,1041.76,1006.29,9267260.0,10713481216.0,3.49,2.24,22.76,5.03,BK1006,concept,碳基材料
2021-09-03,1039.24,1010.57,1048.97,1004.93,9675194.0,11858315520.0,4.23,-2.87,-29.84,5.25,BK1006,concept,碳基材料
2021-09-06,1009.95,1004.82,1012.96,980.38,7722649.0,9575095040.0,3.22,-0.57,-5.75,4.19,BK1006,concept,碳基材料
2021-09-07,1006.54,1038.72,1039.61,1003.99,8525305.0,11017706752.0,3.54,3.37,33.9,4.63,BK1006,concept,碳基材料
2021-09-08,1032.57,1038.95,1043.9,1029.36,9669425.0,11988757760.0,1.4,0.02,0.23,5.25,BK1006,concept,碳基材料
2021-09-09,1036.76,1041.1,1045.61,1026.86,8850895.0,11120145920.0,1.8,0.21,2.15,4.8,BK1006,concept,碳基材料
2021-09-10,1046.2,1038.94,1046.34,1024.77,9308301.0,12127210240.0,2.07,-0.21,-2.16,5.05,BK1006,concept,碳基材料
2021-09-13,1035.94,1038.75,1045.24,1030.93,7882999.0,10538452736.0,1.38,-0.02,-0.19,4.28,BK1006,concept,碳基材料
2021-09-14,1033.63,1051.5,1064.83,1027.72,8253937.0,11963866624.0,3.57,1.23,12.75,4.48,BK1006,concept,碳基材料
2021-09-15,1054.18,1085.43,1085.76,1053.88,9973205.0,14179594752.0,3.03,3.23,33.93,5.41,BK1006,concept,碳基材料
2021-09-16,1089.54,1048.47,1090.76,1045.18,9976680.0,14210205440.0,4.2,-3.41,-36.96,5.42,BK1006,concept,碳基材料
2021-09-17,1046.21,1044.62,1069.28,1025.45,8673240.0,11237078272.0,4.18,-0.37,-3.85,4.71,BK1006,concept,碳基材料
2021-09-22,1026.88,1051.64,1055.23,1025.8,6879111.0,8614828800.0,2.82,0.67,7.02,3.73,BK1006,concept,碳基材料
2021-09-23,1056.75,1053.58,1064.81,1052.6,6809041.0,8833131776.0,1.16,0.18,1.94,3.7,BK1006,concept,碳基材料
2021-09-24,1051.78,1017.25,1053.13,1016.83,7565770.0,9179627520.0,3.45,-3.45,-36.33,4.11,BK1006,concept,碳基材料
2021-09-27,1013.83,963.81,1016.01,954.26,6250946.0,7714058496.0,6.07,-5.25,-53.44,3.39,BK1006,concept,碳基材料
2021-09-28,958.32,956.38,968.62,952.61,4522653.0,5406886144.0,1.66,-0.77,-7.43,2.45,BK1006,concept,碳基材料
2021-09-29,944.36,923.9,951.04,918.55,5214820.0,5909034752.0,3.4,-3.4,-32.48,2.83,BK1006,concept,碳基材料
2021-09-30,929.16,949.16,952.81,929.16,3889262.0,4800552960.0,2.56,2.73,25.26,2.11,BK1006,concept,碳基材料
2021-10-08,962.7,958.08,970.32,949.29,3856263.0,4887557632.0,2.22,0.94,8.92,2.09,BK1006,concept,碳基材料
2021-10-11,963.37,958.41,963.38,941.1,4612575.0,5447694592.0,2.33,0.03,0.33,2.5,BK1006,concept,碳基材料
2021-10-12,958.16,931.41,960.7,920.11,4608553.0,5426057216.0,4.24,-2.82,-27.0,2.5,BK1006,concept,碳基材料
2021-10-13,928.67,939.51,940.73,917.51,3239309.0,4084521936.0,2.49,0.87,8.1,1.76,BK1006,concept,碳基材料
2021-10-14,935.73,949.38,954.96,931.18,3815572.0,4889616384.0,2.53,1.05,9.87,2.07,BK1006,concept,碳基材料
2021-10-15,944.15,947.95,951.44,936.78,3503624.0,4489131520.0,1.54,-0.15,-1.43,1.9,BK1006,concept,碳基材料
2021-10-18,946.75,957.8,958.19,943.5,3524520.0,4466258688.0,1.55,1.04,9.85,1.91,BK1006,concept,碳基材料
2021-10-19,957.63,958.15,962.09,952.82,3337239.0,4778236672.0,0.97,0.04,0.35,1.81,BK1006,concept,碳基材料
2021-10-20,951.46,964.6,969.79,947.45,3422829.0,4477794560.0,2.33,0.67,6.45,1.86,BK1006,concept,碳基材料
2021-10-21,963.53,950.8,964.62,949.47,3603436.0,4869898240.0,1.57,-1.43,-13.8,1.96,BK1006,concept,碳基材料
2021-10-22,949.6,944.71,958.42,944.13,3577583.0,4509698560.0,1.5,-0.64,-6.09,1.94,BK1006,concept,碳基材料
2021-10-25,943.26,971.46,971.48,940.53,4144805.0,6512439296.0,3.28,2.83,26.75,2.25,BK1006,concept,碳基材料
2021-10-26,979.6,986.14,995.33,979.6,7733678.0,10378157312.0,1.62,1.51,14.68,4.2,BK1006,concept,碳基材料
2021-10-27,980.15,985.46,994.57,979.4,7831037.0,10210562304.0,1.54,-0.07,-0.68,4.25,BK1006,concept,碳基材料
2021-10-28,979.48,951.61,979.48,948.71,7547134.0,9570433792.0,3.12,-3.43,-33.85,4.1,BK1006,concept,碳基材料
2021-10-29,954.99,976.3,978.75,952.83,6428109.0,8888508416.0,2.72,2.59,24.69,3.49,BK1006,concept,碳基材料
2021-11-01,981.67,997.02,1007.98,981.67,5168640.0,8385062656.0,2.69,2.12,20.72,2.81,BK1006,concept,碳基材料
2021-11-02,1006.28,990.65,1008.82,984.57,5327174.0,8195936512.0,2.43,-0.64,-6.37,2.89,BK1006,concept,碳基材料
2021-11-03,990.56,998.09,999.94,982.7,9926491.0,13689299200.0,1.74,0.75,7.44,5.39,BK1006,concept,碳基材料
2021-11-04,1000.2,1024.04,1024.51,1000.2,6263633.0,9868858624.0,2.44,2.6,25.95,3.4,BK1006,concept,碳基材料
2021-11-05,1029.42,1006.61,1029.42,1006.28,8467041.0,12733227008.0,2.26,-1.7,-17.43,4.6,BK1006,concept,碳基材料
2021-11-08,1009.08,1024.41,1024.9,1004.38,7002033.0,10989531136.0,2.04,1.77,17.8,3.8,BK1006,concept,碳基材料
2021-11-09,1023.14,1046.0,1046.39,1023.14,8172072.0,12463512320.0,2.27,2.11,21.59,4.44,BK1006,concept,碳基材料
2021-11-10,1044.13,1055.57,1055.57,1035.22,6781141.0,10103732992.0,1.95,0.91,9.57,3.68,BK1006,concept,碳基材料
2021-11-11,1050.83,1057.14,1062.76,1050.38,6091843.0,9313902336.0,1.17,0.15,1.57,3.31,BK1006,concept,碳基材料
2021-11-12,1058.89,1076.17,1077.25,1058.55,7053107.0,11403013120.0,1.77,1.8,19.03,3.83,BK1006,concept,碳基材料
2021-11-15,1076.25,1062.25,1078.83,1060.01,6502211.0,10706583296.0,1.75,-1.29,-13.92,3.53,BK1006,concept,碳基材料
2021-11-16,1060.67,1049.11,1065.14,1048.9,6037804.0,9611878912.0,1.53,-1.24,-13.14,3.28,BK1006,concept,碳基材料
2021-11-17,1049.15,1072.95,1073.57,1046.98,5825793.0,10256221184.0,2.53,2.27,23.84,3.16,BK1006,concept,碳基材料
2021-11-18,1077.19,1078.08,1086.02,1073.22,7263032.0,12511163648.0,1.19,0.48,5.13,3.94,BK1006,concept,碳基材料
2021-11-19,1075.12,1089.91,1092.11,1068.92,6228727.0,10330622464.0,2.15,1.1,11.83,3.38,BK1006,concept,碳基材料
2021-11-22,1096.62,1116.97,1118.95,1096.62,7328799.0,12070148608.0,2.05,2.48,27.06,3.98,BK1006,concept,碳基材料
2021-11-23,1115.78,1130.75,1137.13,1115.78,8603479.0,12741174784.0,1.91,1.23,13.78,4.67,BK1006,concept,碳基材料
2021-11-24,1128.62,1131.85,1144.98,1121.61,10890260.0,16570658560.0,2.07,0.1,1.1,5.91,BK1006,concept,碳基材料
2021-11-25,1130.49,1126.89,1137.2,1124.59,7910500.0,12326802176.0,1.11,-0.44,-4.96,4.29,BK1006,concept,碳基材料
2021-11-26,1127.81,1136.57,1146.22,1127.81,6795932.0,11705862656.0,1.63,0.86,9.68,3.69,BK1006,concept,碳基材料
2021-11-29,1124.28,1155.69,1157.66,1123.32,6519172.0,11109125376.0,3.02,1.68,19.12,3.54,BK1006,concept,碳基材料
2021-11-30,1162.63,1173.81,1183.06,1162.63,6714532.0,11927024128.0,1.77,1.57,18.12,3.64,BK1006,concept,碳基材料
2021-12-01,1179.7,1193.29,1194.31,1177.28,6393226.0,10427340288.0,1.45,1.66,19.48,3.47,BK1006,concept,碳基材料
2021-12-02,1188.61,1160.89,1191.59,1160.24,6963672.0,10794021376.0,2.63,-2.72,-32.4,3.78,BK1006,concept,碳基材料
2021-12-03,1163.14,1171.54,1177.7,1160.07,7127996.0,10251633152.0,1.52,0.92,10.65,3.87,BK1006,concept,碳基材料
2021-12-06,1171.22,1150.41,1175.39,1146.77,7154695.0,10547092736.0,2.44,-1.8,-21.13,3.88,BK1006,concept,碳基材料
2021-12-07,1160.51,1132.9,1161.4,1126.29,5570864.0,8194018816.0,3.05,-1.52,-17.51,3.02,BK1006,concept,碳基材料
2021-12-08,1140.55,1160.3,1160.92,1135.34,5910501.0,8718389504.0,2.26,2.42,27.4,3.21,BK1006,concept,碳基材料
2021-12-09,1160.14,1155.4,1164.79,1147.8,5638447.0,8642791680.0,1.46,-0.42,-4.9,3.06,BK1006,concept,碳基材料
2021-12-10,1154.82,1166.11,1167.61,1148.85,5238768.0,9710458112.0,1.62,0.93,10.71,2.84,BK1006,concept,碳基材料
2021-12-13,1164.9,1154.67,1167.25,1146.5,5855415.0,10379939584.0,1.78,-0.98,-11.44,3.18,BK1006,concept,碳基材料
2021-12-14,1150.96,1152.33,1154.7,1143.08,5495382.0,9057478400.0,1.01,-0.2,-2.34,2.98,BK1006,concept,碳基材料
2021-12-15,1151.84,1167.61,1178.67,1149.61,5415278.0,8873043200.0,2.52,1.33,15.28,2.94,BK1006,concept,碳基材料
2021-12-16,1172.35,1174.84,1178.24,1165.0,4904306.0,7705582336.0,1.13,0.62,7.23,2.66,BK1006,concept,碳基材料
2021-12-17,1165.78,1144.67,1165.78,1144.66,6722971.0,10853705728.0,1.8,-2.57,-30.17,3.65,BK1006,concept,碳基材料
2021-12-20,1141.83,1101.63,1143.43,1100.78,5094290.0,7974133504.0,3.73,-3.76,-43.04,2.77,BK1006,concept,碳基材料
2021-12-21,1100.4,1116.36,1116.81,1100.4,4274431.0,6590135040.0,1.49,1.34,14.73,2.32,BK1006,concept,碳基材料
2021-12-22,1116.68,1118.53,1122.5,1111.05,4187040.0,6010452480.0,1.03,0.19,2.17,2.27,BK1006,concept,碳基材料
2021-12-23,1117.64,1114.74,1122.48,1108.4,3915011.0,5658907648.0,1.26,-0.34,-3.79,2.13,BK1006,concept,碳基材料
2021-12-24,1116.06,1074.58,1116.76,1073.39,5646436.0,8229102080.0,3.89,-3.6,-40.16,3.06,BK1006,concept,碳基材料
2021-12-27,1071.33,1077.74,1087.84,1067.05,3827148.0,5596632576.0,1.93,0.29,3.16,2.08,BK1006,concept,碳基材料
2021-12-28,1081.54,1094.86,1095.28,1076.11,3636961.0,5404725248.0,1.78,1.59,17.12,1.97,BK1006,concept,碳基材料
2021-12-29,1094.14,1107.17,1111.92,1092.28,5724548.0,7892176640.0,1.79,1.12,12.31,3.11,BK1006,concept,碳基材料
2021-12-30,1105.58,1112.34,1115.43,1101.51,5535231.0,7323515648.0,1.26,0.47,5.17,3.0,BK1006,concept,碳基材料
2021-12-31,1113.1,1113.41,1119.49,1110.0,4021665.0,6130317568.0,0.85,0.1,1.07,2.18,BK1006,concept,碳基材料
2022-01-04,1121.27,1108.03,1122.03,1094.88,4923454.0,6885693952.0,2.44,-0.48,-5.38,2.67,BK1006,concept,碳基材料
2022-01-05,1107.94,1080.96,1107.94,1070.93,4424988.0,6399432960.0,3.34,-2.44,-27.07,2.4,BK1006,concept,碳基材料
2022-01-06,1078.7,1096.85,1103.27,1076.4,3832667.0,5566253056.0,2.49,1.47,15.89,2.08,BK1006,concept,碳基材料
2022-01-07,1095.16,1072.2,1104.87,1072.2,4630653.0,6435204608.0,2.98,-2.25,-24.65,2.51,BK1006,concept,碳基材料
2022-01-10,1071.88,1075.56,1077.99,1061.14,3815321.0,6156299008.0,1.57,0.31,3.36,2.07,BK1006,concept,碳基材料
2022-01-11,1074.59,1060.72,1081.69,1058.02,4064932.0,6206343168.0,2.2,-1.38,-14.84,2.21,BK1006,concept,碳基材料
2022-01-12,1070.22,1082.61,1082.61,1069.66,4081611.0,6696527104.0,1.22,2.06,21.89,2.22,BK1006,concept,碳基材料
2022-01-13,1080.63,1057.59,1081.88,1056.65,3808231.0,5767161600.0,2.33,-2.31,-25.02,2.07,BK1006,concept,碳基材料
2022-01-14,1054.12,1065.44,1075.03,1048.17,4292868.0,6320659968.0,2.54,0.74,7.85,2.33,BK1006,concept,碳基材料
2022-01-17,1067.44,1083.76,1084.7,1067.44,4120023.0,5910486528.0,1.62,1.72,18.32,2.24,BK1006,concept,碳基材料
2022-01-18,1083.51,1068.21,1083.51,1065.26,3874412.0,5585330432.0,1.68,-1.43,-15.55,2.1,BK1006,concept,碳基材料
2022-01-19,1063.0,1052.32,1066.72,1045.11,3154522.0,4725162240.0,2.02,-1.49,-15.89,1.71,BK1006,concept,碳基材料
2022-01-20,1051.72,1024.76,1054.18,1024.13,3162348.0,4322016000.0,2.86,-2.62,-27.56,1.72,BK1006,concept,碳基材料
2022-01-21,1026.63,1013.21,1031.27,1008.83,3121966.0,4765471232.0,2.19,-1.13,-11.55,1.69,BK1006,concept,碳基材料
2022-01-24,1012.27,1022.79,1030.56,1007.14,2328718.0,3846133760.0,2.31,0.95,9.58,1.26,BK1006,concept,碳基材料
2022-01-25,1020.14,983.08,1029.67,982.89,2987511.0,4252348976.0,4.57,-3.88,-39.71,1.62,BK1006,concept,碳基材料
2022-01-26,987.55,1002.93,1004.72,987.55,4131560.0,5899659264.0,1.75,2.02,19.85,2.24,BK1006,concept,碳基材料
2022-01-27,1002.82,979.12,1010.27,978.72,4555411.0,6238809344.0,3.15,-2.37,-23.81,2.47,BK1006,concept,碳基材料
2022-01-28,989.12,992.35,1005.54,972.9,4191367.0,6295586560.0,3.33,1.35,13.23,2.28,BK1006,concept,碳基材料
2022-02-07,1015.79,1013.09,1020.22,1009.96,3714350.0,5339020288.0,1.03,2.09,20.74,2.02,BK1006,concept,碳基材料
2022-02-08,1010.78,1017.22,1017.54,994.48,3714947.0,5303502336.0,2.28,0.41,4.13,2.02,BK1006,concept,碳基材料
2022-02-09,1014.75,1027.89,1028.89,1006.3,3853835.0,5890486272.0,2.22,1.05,10.67,2.09,BK1006,concept,碳基材料
2022-02-10,1027.66,1021.56,1027.66,1012.48,3904207.0,5681729792.0,1.48,-0.62,-6.33,2.12,BK1006,concept,碳基材料
2022-02-11,1013.37,1000.01,1013.91,998.38,3437106.0,4391341056.0,1.52,-2.11,-21.55,1.87,BK1006,concept,碳基材料
2022-02-14,992.14,1000.32,1012.61,990.05,3032808.0,4100297504.0,2.26,0.03,0.31,1.65,BK1006,concept,碳基材料
2022-02-15,1000.68,1029.43,1029.57,999.69,4448548.0,6055931392.0,2.99,2.91,29.11,2.41,BK1006,concept,碳基材料
2022-02-16,1029.62,1031.57,1034.89,1023.29,3984104.0,5310384640.0,1.13,0.21,2.14,2.16,BK1006,concept,碳基材料
2022-02-17,1031.01,1035.02,1043.54,1026.81,4019009.0,6057006080.0,1.62,0.33,3.45,2.18,BK1006,concept,碳基材料
2022-02-18,1025.59,1033.13,1033.61,1023.15,2943413.0,3925757408.0,1.01,-0.18,-1.89,1.6,BK1006,concept,碳基材料
2022-02-21,1032.51,1049.44,1049.67,1032.32,3585940.0,5037195776.0,1.68,1.58,16.31,1.95,BK1006,concept,碳基材料
2022-02-22,1042.54,1039.02,1044.91,1029.86,3169446.0,4385860096.0,1.43,-0.99,-10.42,1.72,BK1006,concept,碳基材料
2022-02-23,1039.95,1070.67,1071.97,1039.24,4396976.0,6754838016.0,3.15,3.05,31.65,2.39,BK1006,concept,碳基材料
2022-02-24,1064.82,1046.88,1075.48,1030.26,5754910.0,8318008576.0,4.22,-2.22,-23.79,3.12,BK1006,concept,碳基材料
2022-02-25,1055.97,1052.68,1066.28,1050.39,3567005.0,5450109696.0,1.52,0.55,5.8,1.94,BK1006,concept,碳基材料
2022-02-28,1053.83,1058.13,1059.34,1041.21,2896365.0,4611661312.0,1.72,0.52,5.45,1.57,BK1006,concept,碳基材料
2022-03-01,1063.03,1064.48,1072.19,1058.1,4189742.0,7366511872.0,1.33,0.6,6.35,2.27,BK1006,concept,碳基材料
2022-03-02,1057.43,1053.2,1058.04,1045.53,3525087.0,5936782336.0,1.18,-1.06,-11.28,1.91,BK1006,concept,碳基材料
2022-03-03,1057.85,1033.55,1058.61,1032.61,4207273.0,6513513984.0,2.47,-1.87,-19.65,2.28,BK1006,concept,碳基材料
2022-03-04,1025.13,1021.52,1040.8,1017.48,3900593.0,5348886528.0,2.26,-1.16,-12.03,2.12,BK1006,concept,碳基材料
2022-03-07,1015.7,992.41,1019.17,985.44,3264529.0,5232183552.0,3.3,-2.85,-29.11,1.77,BK1006,concept,碳基材料
2022-03-08,990.92,966.48,997.95,953.93,4182455.0,6228012032.0,4.44,-2.61,-25.93,2.27,BK1006,concept,碳基材料
2022-03-09,971.86,961.8,981.23,920.14,5117891.0,6533418496.0,6.32,-0.48,-4.68,2.78,BK1006,concept,碳基材料
2022-03-10,987.96,985.51,998.54,982.31,4432817.0,6735161856.0,1.69,2.47,23.71,2.41,BK1006,concept,碳基材料
2022-03-11,982.21,999.28,1002.04,970.95,6102861.0,7654437376.0,3.15,1.4,13.77,3.31,BK1006,concept,碳基材料
2022-03-14,988.2,968.84,989.94,968.84,3539616.0,5426220288.0,2.11,-3.05,-30.44,1.92,BK1006,concept,碳基材料
2022-03-15,954.37,917.73,964.22,917.73,4954525.0,5833161216.0,4.8,-5.28,-51.11,2.69,BK1006,concept,碳基材料
2022-03-16,932.47,954.47,955.91,903.32,5058198.0,6988970240.0,5.73,4.0,36.74,2.75,BK1006,concept,碳基材料
2022-03-17,965.08,971.26,988.57,963.42,4927615.0,7048658176.0,2.63,1.76,16.79,2.67,BK1006,concept,碳基材料
2022-03-18,964.86,975.09,976.39,961.19,3369869.0,4317064960.0,1.56,0.39,3.83,1.83,BK1006,concept,碳基材料
2022-03-21,975.98,982.07,989.0,967.39,3485340.0,4676392448.0,2.22,0.72,6.98,1.89,BK1006,concept,碳基材料
2022-03-22,981.82,981.39,986.79,974.69,2899916.0,3511207856.0,1.23,-0.07,-0.68,1.57,BK1006,concept,碳基材料
2022-03-23,985.97,985.16,991.8,979.67,2993014.0,3988282480.0,1.24,0.38,3.77,1.62,BK1006,concept,碳基材料
2022-03-24,974.86,968.2,975.28,961.88,3094892.0,3812148080.0,1.36,-1.72,-16.96,1.68,BK1006,concept,碳基材料
2022-03-25,968.09,949.44,972.67,949.32,2712033.0,3704817456.0,2.41,-1.94,-18.76,1.47,BK1006,concept,碳基材料
2022-03-28,942.96,942.02,948.49,927.66,2607498.0,3195510080.0,2.19,-0.78,-7.42,1.42,BK1006,concept,碳基材料
2022-03-29,946.49,929.36,948.43,926.41,2555096.0,3222697488.0,2.34,-1.34,-12.66,1.39,BK1006,concept,碳基材料
2022-03-30,935.22,949.38,949.38,933.94,2718557.0,3819721408.0,1.66,2.15,20.02,1.48,BK1006,concept,碳基材料
2022-03-31,946.72,933.95,946.72,931.46,2681384.0,3233474176.0,1.61,-1.63,-15.43,1.46,BK1006,concept,碳基材料
2022-04-01,927.27,928.41,933.3,922.33,2233203.0,2581351376.0,1.17,-0.59,-5.54,1.21,BK1006,concept,碳基材料
2022-04-06,923.78,922.62,924.13,914.22,2807612.0,3583358160.0,1.07,-0.62,-5.79,1.52,BK1006,concept,碳基材料
2022-04-07,915.88,903.91,921.65,902.36,2941405.0,3275266240.0,2.09,-2.03,-18.71,1.6,BK1006,concept,碳基材料
2022-04-08,904.03,889.32,905.07,879.47,2832253.0,3436758912.0,2.83,-1.61,-14.59,1.54,BK1006,concept,碳基材料
2022-04-11,884.73,850.18,884.87,847.76,3110892.0,3578352816.0,4.17,-4.4,-39.14,1.69,BK1006,concept,碳基材料
2022-04-12,846.53,864.98,865.84,840.43,2609704.0,2756331184.0,2.99,1.74,14.8,1.42,BK1006,concept,碳基材料
2022-04-13,860.05,848.39,860.67,845.4,2117908.0,2189373376.0,1.77,-1.92,-16.59,1.15,BK1006,concept,碳基材料
2022-04-14,854.81,851.53,855.94,843.57,2451767.0,2734358288.0,1.46,0.37,3.14,1.33,BK1006,concept,碳基材料
2022-04-15,844.22,835.24,844.87,827.31,3173899.0,3250034160.0,2.06,-1.91,-16.29,1.72,BK1006,concept,碳基材料
2022-04-18,825.89,839.95,843.65,811.65,2600393.0,3059434928.0,3.83,0.56,4.71,1.41,BK1006,concept,碳基材料
2022-04-19,837.19,840.19,848.08,834.43,2143480.0,2418316160.0,1.63,0.03,0.24,1.16,BK1006,concept,碳基材料
2022-04-20,839.67,820.88,845.56,819.75,2791777.0,2765263728.0,3.07,-2.3,-19.31,1.52,BK1006,concept,碳基材料
2022-04-21,816.36,791.77,822.89,788.86,3093982.0,2971668960.0,4.15,-3.55,-29.11,1.68,BK1006,concept,碳基材料
2022-04-22,783.77,777.27,789.94,774.06,2402052.0,2563777056.0,2.01,-1.83,-14.5,1.3,BK1006,concept,碳基材料
2022-04-25,762.5,712.14,762.51,710.46,3597942.0,3532011808.0,6.7,-8.38,-65.13,1.95,BK1006,concept,碳基材料
2022-04-26,711.41,686.99,717.78,685.99,3156587.0,3203730288.0,4.46,-3.53,-25.15,1.71,BK1006,concept,碳基材料
2022-04-27,677.82,726.61,726.61,670.02,4079041.0,4463730688.0,8.24,5.77,39.62,2.21,BK1006,concept,碳基材料
2022-04-28,714.35,709.47,725.04,703.4,2914284.0,3440998608.0,2.98,-2.36,-17.14,1.58,BK1006,concept,碳基材料
2022-04-29,714.86,739.23,742.26,712.61,2859551.0,3390979488.0,4.18,4.19,29.76,1.55,BK1006,concept,碳基材料
2022-05-05,736.27,744.91,753.83,731.43,3097501.0,3579512240.0,3.03,0.77,5.68,1.68,BK1006,concept,碳基材料
2022-05-06,725.65,736.22,742.65,720.98,2104974.0,2488668752.0,2.91,-1.17,-8.69,1.14,BK1006,concept,碳基材料
2022-05-09,734.36,743.59,748.57,732.92,1616357.0,1865250336.0,2.13,1.0,7.37,0.88,BK1006,concept,碳基材料
2022-05-10,733.36,760.83,764.16,732.54,2737021.0,3521191552.0,4.25,2.32,17.24,1.49,BK1006,concept,碳基材料
2022-05-11,764.29,775.43,795.99,764.29,3820210.0,4662004992.0,4.17,1.92,14.6,2.07,BK1006,concept,碳基材料
2022-05-12,768.06,776.87,782.12,768.05,2461789.0,2754320528.0,1.81,0.19,1.44,1.34,BK1006,concept,碳基材料
2022-05-13,782.74,782.84,787.79,777.4,1812832.0,2090703152.0,1.34,0.77,5.97,0.98,BK1006,concept,碳基材料
2022-05-16,794.42,787.72,800.67,784.11,1958603.0,2368095584.0,2.12,0.62,4.88,1.06,BK1006,concept,碳基材料
2022-05-17,789.5,791.34,791.41,775.5,2566624.0,3088067408.0,2.02,0.46,3.62,1.39,BK1006,concept,碳基材料
2022-05-18,792.84,796.39,803.41,787.84,2493330.0,3047191296.0,1.97,0.64,5.05,1.35,BK1006,concept,碳基材料
2022-05-19,782.31,807.11,807.86,780.13,2922743.0,4035175936.0,3.48,1.35,10.72,1.59,BK1006,concept,碳基材料
2022-05-20,809.11,815.5,816.41,803.01,2921012.0,3547918016.0,1.66,1.04,8.39,1.59,BK1006,concept,碳基材料
2022-05-23,815.86,828.63,831.34,812.57,2951444.0,3550480976.0,2.3,1.61,13.13,1.6,BK1006,concept,碳基材料
2022-05-24,827.38,785.75,828.29,785.75,3550244.0,4477806336.0,5.13,-5.17,-42.88,1.93,BK1006,concept,碳基材料
2022-05-25,786.1,797.98,797.98,782.52,2608002.0,3746558928.0,1.97,1.56,12.23,1.42,BK1006,concept,碳基材料
2022-05-26,798.14,807.01,809.76,787.65,2785348.0,3565429264.0,2.77,1.13,9.03,1.51,BK1006,concept,碳基材料
2022-05-27,815.54,809.89,821.29,802.06,2641719.0,3111152592.0,2.38,0.36,2.88,1.43,BK1006,concept,碳基材料
2022-05-30,817.21,819.34,819.45,805.89,2266213.0,2975704704.0,1.67,1.17,9.45,1.23,BK1006,concept,碳基材料
2022-05-31,823.4,831.93,833.97,818.67,2843199.0,4169968672.0,1.87,1.54,12.59,1.54,BK1006,concept,碳基材料
2022-06-01,830.15,844.26,846.4,829.92,3457467.0,4199152464.0,1.98,1.48,12.33,1.88,BK1006,concept,碳基材料
2022-06-02,840.39,851.69,854.39,833.76,3171474.0,4841990400.0,2.44,0.88,7.43,1.72,BK1006,concept,碳基材料
2022-06-06,846.73,866.41,867.01,846.73,4052787.0,5436470528.0,2.38,1.73,14.72,2.2,BK1006,concept,碳基材料
2022-06-07,869.83,857.93,870.89,851.19,3177847.0,4859404288.0,2.27,-0.98,-8.48,1.72,BK1006,concept,碳基材料
2022-06-08,857.73,847.21,859.24,828.18,3203553.0,4358504704.0,3.62,-1.25,-10.72,1.74,BK1006,concept,碳基材料
2022-06-09,848.84,828.7,848.84,822.72,2720793.0,3636014832.0,3.08,-2.18,-18.51,1.48,BK1006,concept,碳基材料
2022-06-10,825.31,853.52,853.8,823.26,3287008.0,4376437760.0,3.69,3.0,24.82,1.78,BK1006,concept,碳基材料
2022-06-13,850.24,865.87,866.2,849.27,3333072.0,4652218368.0,1.98,1.45,12.35,1.81,BK1006,concept,碳基材料
2022-06-14,856.74,858.94,860.81,833.27,4571391.0,5486114304.0,3.18,-0.8,-6.93,2.48,BK1006,concept,碳基材料
2022-06-15,859.81,859.78,872.58,858.88,4507633.0,5323570176.0,1.59,0.1,0.84,2.45,BK1006,concept,碳基材料
2022-06-16,859.0,875.88,877.94,858.67,4085468.0,5568084736.0,2.24,1.87,16.1,2.22,BK1006,concept,碳基材料
2022-06-17,869.45,902.09,905.93,869.25,6168937.0,8565789184.0,4.19,2.99,26.21,3.35,BK1006,concept,碳基材料
2022-06-20,909.05,921.34,928.0,908.87,5396401.0,7979788544.0,2.12,2.13,19.25,2.93,BK1006,concept,碳基材料
2022-06-21,920.97,913.0,921.17,903.12,4215046.0,5920631808.0,1.96,-0.91,-8.34,2.29,BK1006,concept,碳基材料
2022-06-22,911.58,896.37,915.18,895.88,3118704.0,4962747136.0,2.11,-1.82,-16.63,1.69,BK1006,concept,碳基材料
2022-06-23,897.24,915.87,915.98,888.5,3549469.0,5308407808.0,3.07,2.18,19.5,1.93,BK1006,concept,碳基材料
2022-06-24,919.59,938.31,943.78,919.59,4579575.0,7769700608.0,2.64,2.45,22.44,2.49,BK1006,concept,碳基材料
2022-06-27,954.13,951.1,955.2,940.51,4317237.0,7275437568.0,1.57,1.36,12.79,2.34,BK1006,concept,碳基材料
2022-06-28,953.48,976.78,977.06,948.02,5344656.0,7303492864.0,3.05,2.7,25.68,2.9,BK1006,concept,碳基材料
2022-06-29,971.29,938.08,972.25,937.09,4627360.0,6746512896.0,3.6,-3.96,-38.7,2.51,BK1006,concept,碳基材料
2022-06-30,941.37,952.15,957.04,941.37,4014407.0,6377654016.0,1.67,1.5,14.07,2.18,BK1006,concept,碳基材料
